Date,Lab,SNP,Con,Lib Dem,Reform,Green
2025-05-30,20.0,31.0,12.0,8.0,21.0,7.0
2025-05-05,19.0,32.0,11.0,11.0,21.0,5.0
2025-04-22,24.0,33.0,14.0,9.0,15.0,5.0
2025-01-20,18.0,31.0,12.0,10.0,17.0,7.0
2025-01-14,18.0,32.0,13.0,11.0,17.0,6.0
2025-01-13,24.0,33.0,14.0,9.0,15.0,4.0
2024-12-24,20.0,34.0,14.0,9.0,15.0,6.0
2024-12-06,20.0,31.0,14.0,9.0,15.0,6.0
2024-11-15,28.0,31.0,15.0,6.0,13.0,5.0
2024-11-01,23.0,30.0,15.0,10.0,14.0,6.0
2024-09-13,31.0,31.0,14.0,9.0,11.0,3.0
2024-09-11,25.0,32.0,14.0,8.0,11.0,7.0
2024-08-22,32.0,29.0,12.0,8.0,12.0,5.0
2024-07-04,35.3,30.0,12.7,9.7,7.0,3.8
