Date,Lab,Con,Plaid Cymru,Green,Lib Dem,AWA,Reform
2024-05-19,37.0,20.0,20.0,5.0,3.0,5.0,10.0
2024-04-23,33.0,18.0,19.0,6.0,7.0,4.0,12.0
2024-03-24,32.0,16.0,18.0,9.0,7.0,6.0,11.0
2024-02-18,29.0,16.0,25.0,4.0,8.0,7.0,10.0
2024-01-26,34.0,19.0,21.0,6.0,6.0,6.0,7.0
2023-12-11,28.0,20.0,24.0,7.0,8.0,4.0,7.0
2023-11-13,32.0,21.0,18.0,9.0,6.0,5.0,7.0
2023-10-15,31.0,21.0,24.0,4.0,5.0,7.0,8.0
2023-09-17,35.0,21.0,18.0,6.0,12.0,2.0,5.0
2023-09-06,34.0,16.0,20.0,6.0,6.0,9.0,6.0
2023-08-14,31.0,19.0,22.0,6.0,10.0,,10.0
2023-07-16,33.0,20.0,19.0,6.0,10.0,,6.0
2023-06-18,30.0,22.0,20.0,6.0,9.0,,8.0
2023-05-17,36.0,16.0,18.0,7.0,7.0,5.0,7.0
2023-05-15,30.0,21.0,24.0,4.0,10.0,,8.0
2023-04-17,32.0,22.0,23.0,7.0,8.0,,7.0
2023-02-07,39.0,18.0,20.0,5.0,5.0,6.0,6.0
2022-12-01,38.0,16.0,23.0,5.0,4.0,8.0,4.0
2022-09-22,37.0,18.0,21.0,5.0,5.0,7.0,4.0
2022-06-16,31.0,21.0,24.0,6.0,5.0,6.0,6.0
2022-03-01,34.0,23.0,20.0,4.0,6.0,6.0,3.0
2021-12-16,35.0,22.0,19.0,7.0,3.0,6.0,5.0
2021-09-16,33.0,26.0,19.0,5.0,4.0,6.0,2.0
2021-05-06,36.2,25.1,20.7,4.4,4.3,3.7,1.1
