Date,Lab,Con,Plaid Cymru,Lib Dem,Green,Reform
2024-04-23,37%,21%,22%,4%,3%,10%
2024-03-24,36%,21%,21%,3%,3%,11%
2024-02-18,34%,21%,19%,4%,3%,13%
2024-01-26,39%,25%,18%,3%,4%,9%
2023-12-11,41%,22%,17%,7%,3%,7%
2023-11-13,40%,23%,18%,3%,4%,7%
2023-10-15,37%,27%,18%,4%,3%,6%
2023-09-17,39%,27%,18%,5%,6%,3%
2023-09-06,41%,18%,19%,6%,4%,8%
2023-08-14,37%,21%,20%,6%,3%,9%
2023-07-16,42%,22%,16%,6%,3%,7%
2023-06-18,36%,22%,19%,7%,3%,10%
2023-05-17,40%,18%,17%,7%,5%,8%
2023-05-15,38%,23%,20%,7%,3%,7%
2023-04-17,41%,21%,20%,5%,4%,8%
2023-02-07,43%,18%,20%,4%,4%,9%
2022-12-01,44%,17%,20%,6%,3%,7%
2022-09-22,40%,20%,22%,6%,3%,5%
2022-06-16,37%,24%,21%,6%,5%,5%
2022-03-01,38%,24%,21%,6%,3%,5%
2021-12-16,40%,23%,17%,4%,5%,7%
2021-09-16,37%,27%,19%,5%,4%,5%
2021-05-06,39.9%,26.1%,20.3%,4.9%,1.6%,1.6%
