Date,Lab,Con,Plaid Cymru,Green,Lib Dem,AWA,Reform
2023-07-16,33%,20%,19%,6%,10%,nan,tbc
2023-06-18,30%,22%,20%,6%,9%,nan,8%
2023-05-17,36%,16%,18%,7%,7%,5%,7%
2023-05-15,30%,21%,24%,4%,10%,nan,8%
2023-04-17,32%,22%,23%,7%,8%,nan,7%
2023-02-07,39%,18%,20%,5%,5%,6%,6%
2022-12-01,38%,16%,23%,5%,4%,8%,4%
2022-09-22,37%,18%,21%,5%,5%,7%,4%
2022-06-16,31%,21%,24%,6%,5%,6%,6%
2022-03-01,34%,23%,20%,4%,6%,6%,3%
2021-12-16,35%,22%,19%,7%,3%,6%,5%
2021-09-16,33%,26%,19%,5%,4%,6%,2%
2021-05-06,36.2%,25.1%,20.7%,4.4%,4.3%,3.7%,1.1%
