year,Conservative,Labour,Liberal/Liberal Democrats,Green/Ecology,UKIP,Other
18/12/1885,0.492,-,0.508,-,-,-
27/07/1886,0.555,-,0.445,-,-,-
08/05/1891,0.479,-,0.521,-,-,-
26/07/1892,0.472,-,0.528,-,-,-
07/08/1895,0.459,-,0.541,-,-,-
24/10/1900,0.45,-,0.55,-,-,-
17/06/1904,0.438,-,0.562,-,-,-
08/02/1906,0.432,-,0.568,-,-,-
10/02/1910,0.467,-,0.533,-,-,-
19/12/1910,0.465,-,0.535,-,-,-
23/03/1916,0.467,-,0.533,-,-,-
14/12/1918,0.482,0.256,0.262,-,-,-
15/11/1922,0.426,0.282,0.292,-,-,-
06/12/1923,0.468,-,0.532,-,-,-
29/10/1924,0.526,0.243,0.231,-,-,-
30/05/1929,0.418,0.327,0.255,-,-,-
27/10/1931,0.7447,0.2553,-,-,-,-
28/11/1933,0.509,0.328,0.162,-,-,-
14/11/1935,0.6323,0.3677,-,-,-,-
05/07/1945,0.4213,0.425,0.1538,-,-,-
23/02/1950,0.4975,0.3821,0.1156,-,-,0.0049
25/10/1951,0.5221,0.3845,0.0934,-,-,-
26/05/1955,0.536,0.3357,0.1283,-,-,-
08/10/1959,0.5103,0.2922,0.1975,-,-,-
15/10/1964,0.4924,0.3051,0.2025,-,-,-
31/03/1966,0.4611,0.3617,0.1773,-,-,-
18/06/1970,0.5635,0.3226,0.1139,-,-,-
28/02/1974,0.5081,0.2103,0.2816,-,-,-
10/10/1974,0.5127,0.2374,0.25,-,-,-
03/05/1979,0.6037,0.2056,0.1726,-,-,0.0181
09/06/1983,0.601,0.115,0.264,0.015,-,0.005
11/06/1987,0.594,0.129,0.277,-,-,-
09/04/1992,0.546,0.119,0.33,-,-,0.005
01/05/1997,0.418,0.252,0.295,-,-,0.035
07/06/2001,0.447,0.2,0.334,-,0.02,-
05/05/2005,0.429,0.192,0.347,-,0.032,-
06/05/2010,0.49,0.127,0.31,-,0.027,0.045
07/05/2015,0.527,0.153,0.134,0.041,0.144,-
08/06/2017,0.523,0.307,0.126,0.019,0.024,-
12/12/2019,0.553,0.252,0.159,0.03,-,0.007
04/07/2024,0.332,0.395,0.117,0.028,-,0.122
04/07/2024,0.34,0.38,0.11,0.07,-,0.10
04/07/2024,0.287,0.365,0.142,0.075,-,0.111
04/07/2024,0.244,0.309,0.151,0.078,-,0.175
