Date,Con,Lab,Lib Dem,SNP,Green,Reform,UKIP,Change UK
2024-06-14,23.0,40.0,12.0,2.0,7.0,14.0,,
2024-06-14,21.0,46.0,11.0,2.0,5.0,13.0,,
2024-06-13,19.0,43.0,11.0,2.0,6.0,16.0,,
2024-06-13,18.0,37.0,14.0,3.0,7.0,19.0,,
2024-06-13,18.0,42.0,13.0,3.0,5.0,17.0,,
2024-06-13,20.0,43.0,11.0,2.0,6.0,14.0,,
2024-06-13,19.0,41.0,11.0,3.0,6.0,17.0,,
2024-06-13,24.0,40.0,11.0,4.0,6.0,12.0,,
2024-06-12,19.0,39.0,10.0,3.0,9.0,17.0,,
2024-06-12,21.0,41.0,12.0,3.0,6.0,14.0,,
2024-06-12,25.0,41.0,10.0,3.0,5.0,13.0,,
2024-06-12,21.0,41.0,11.0,3.0,6.0,17.0,,
2024-06-11,18.0,38.0,15.0,2.0,8.0,17.0,,
2024-06-11,24.0,42.0,9.0,3.0,5.0,15.0,,
2024-06-11,23.0,41.0,10.0,3.0,6.0,12.0,,
2024-06-10,20.0,41.0,11.0,3.0,8.0,15.0,,
2024-06-10,19.0,45.0,10.0,3.0,5.0,17.0,,
2024-06-10,21.0,44.0,7.0,2.0,8.0,15.0,,
2024-06-09,25.0,44.0,9.0,3.0,4.0,10.0,,
2024-06-09,24.0,41.0,11.0,3.0,5.0,15.0,,
2024-06-08,21.0,46.0,9.0,4.0,5.0,12.0,,
2024-06-07,20.0,45.0,10.0,3.0,5.0,15.0,,
2024-06-07,24.0,42.0,10.0,3.0,7.0,12.0,,
2024-06-07,26.0,46.0,10.0,2.0,3.0,11.0,,
2024-06-07,25.0,46.0,9.0,3.0,6.0,11.0,,
2024-06-06,22.0,42.0,9.0,3.0,5.0,16.0,,
2024-06-06,19.0,41.0,11.0,3.0,7.0,16.0,,
2024-06-06,20.0,44.0,10.0,2.0,6.0,15.0,,
2024-06-06,23.0,43.0,9.0,3.0,5.0,15.0,,
2024-06-06,19.0,42.0,12.0,3.0,6.0,17.0,,
2024-06-06,25.0,44.0,9.0,2.0,5.0,14.0,,
2024-06-05,22.0,45.0,10.0,3.0,5.0,14.0,,
2024-06-05,23.0,42.0,9.0,4.0,6.0,16.0,,
2024-06-04,19.0,40.0,10.0,3.0,7.0,17.0,,
2024-06-04,23.0,43.0,8.0,5.0,9.0,9.0,,
2024-06-03,27.0,46.0,8.0,3.0,5.0,10.0,,
2024-06-03,25.0,48.0,10.0,2.0,4.0,9.0,,
2024-06-03,23.0,41.0,12.0,3.0,8.0,9.0,,
2024-06-03,23.0,47.0,6.0,2.0,6.0,11.0,,
2024-06-02,28.0,42.0,9.0,3.0,4.0,9.0,,
2024-06-02,26.0,43.0,11.0,3.0,3.0,12.0,,
2024-06-02,20.0,46.0,10.0,2.0,5.0,14.0,,
2024-06-02,24.0,43.0,10.0,3.0,4.0,11.0,,
2024-06-01,25.0,43.0,11.0,3.0,7.0,10.0,,
2024-05-31,26.0,43.0,9.0,2.0,6.0,12.0,,
2024-05-31,21.0,46.0,8.0,3.0,6.0,13.0,,
2024-05-31,25.0,45.0,8.0,3.0,6.0,11.0,,
2024-05-30,21.0,45.0,11.0,2.0,6.0,12.0,,
2024-05-30,21.0,46.0,8.0,2.0,6.0,15.0,,
2024-05-30,24.0,44.0,9.0,3.0,6.0,11.0,,
2024-05-29,27.0,43.0,9.0,2.0,6.0,11.0,,
2024-05-29,29.0,43.0,11.0,3.0,5.0,8.0,,
2024-05-29,26.0,45.0,9.0,2.0,5.0,11.0,,
2024-05-28,20.0,47.0,9.0,3.0,7.0,12.0,,
2024-05-28,24.0,47.0,6.0,3.0,8.0,11.0,,
2024-05-27,23.0,46.0,9.0,3.0,5.0,13.0,,
2024-05-27,24.0,47.0,11.0,3.0,3.0,8.0,,
2024-05-27,19.0,46.0,10.0,3.0,8.0,12.0,,
2024-05-26,27.0,44.0,10.0,3.0,4.0,8.0,,
2024-05-25,28.0,40.0,10.0,3.0,5.0,12.0,,
2024-05-25,23.0,45.0,9.0,3.0,6.0,10.0,,
2024-05-24,27.0,41.0,10.0,2.0,7.0,10.0,,
2024-05-24,22.0,44.0,9.0,3.0,6.0,14.0,,
2024-05-24,22.0,47.0,8.0,3.0,6.0,12.0,,
2024-05-23,19.0,45.0,12.0,2.0,5.0,14.0,,
2024-05-23,27.0,44.0,9.0,3.0,5.0,10.0,,
2024-05-22,21.0,46.0,9.0,3.0,7.0,12.0,,
2024-05-22,27.0,48.0,8.0,3.0,2.0,8.0,,
2024-05-22,20.0,46.0,9.0,3.0,7.0,13.0,,
2024-05-20,23.0,45.0,10.0,3.0,5.0,12.0,,
