Date,Con,Lab,Lib Dem,UKIP,Green
2015-05-07,37.8,31.2,8.1,12.9,3.8
2015-05-07,34.0,34.0,9.0,13.0,5.0
2015-05-06,37.0,31.0,10.0,11.0,5.0
2015-05-06,34.0,28.0,7.0,13.0,8.0
2015-05-06,33.0,33.0,10.0,11.0,6.0
2015-05-06,36.0,35.0,8.0,11.0,5.0
2015-05-06,34.0,34.0,10.0,12.0,4.0
2015-05-06,35.0,34.0,9.0,12.0,4.0
2015-05-06,31.0,31.0,10.0,16.0,5.0
2015-05-06,34.0,35.0,9.0,11.0,4.0
2015-05-06,35.0,35.0,9.0,11.0,3.0
2015-05-06,31.0,33.0,8.0,16.0,5.0
2015-05-05,35.0,34.0,8.0,12.0,6.0
2015-05-05,34.0,34.0,9.0,12.0,5.0
2015-05-05,33.0,34.0,9.0,16.0,4.0
2015-05-05,35.0,32.0,9.0,14.0,4.0
2015-05-05,34.0,34.0,10.0,12.0,4.0
2015-05-04,33.0,33.0,10.0,12.0,5.0
2015-05-04,33.0,32.0,8.0,14.0,6.0
2015-05-03,34.0,33.0,9.0,12.0,5.0
2015-05-03,32.0,30.0,11.0,12.0,7.0
2015-05-03,34.0,34.0,10.0,13.0,5.0
2015-05-02,34.0,33.0,8.0,13.0,5.0
2015-05-02,31.0,34.0,8.0,17.0,4.0
2015-05-01,33.0,34.0,8.0,14.0,5.0
2015-05-01,33.0,34.0,9.0,16.0,3.0
2015-04-30,34.0,35.0,9.0,12.0,5.0
2015-04-30,33.0,33.0,9.0,15.0,4.0
2015-04-30,34.0,35.0,8.0,12.0,5.0
2015-04-30,32.0,34.0,8.0,17.0,4.0
2015-04-30,33.0,33.0,8.0,13.0,7.0
2015-04-30,35.0,34.0,8.0,13.0,5.0
2015-04-29,35.0,34.0,9.0,12.0,4.0
2015-04-29,35.0,30.0,8.0,10.0,8.0
2015-04-28,35.0,35.0,7.0,11.0,6.0
2015-04-28,34.0,35.0,9.0,12.0,4.0
2015-04-27,35.0,34.0,9.0,12.0,5.0
2015-04-27,35.0,32.0,11.0,14.0,3.0
2015-04-27,34.0,33.0,7.0,15.0,5.0
2015-04-26,33.0,34.0,8.0,14.0,5.0
2015-04-26,36.0,30.0,9.0,11.0,7.0
2015-04-26,35.0,32.0,9.0,13.0,5.0
2015-04-26,33.0,36.0,8.0,14.0,5.0
2015-04-25,32.0,34.0,9.0,14.0,6.0
2015-04-25,33.0,30.0,9.0,18.0,4.0
2015-04-24,33.0,35.0,8.0,13.0,6.0
2015-04-24,34.0,33.0,9.0,13.0,6.0
2015-04-23,32.0,35.0,8.0,14.0,5.0
2015-04-23,33.0,35.0,8.0,13.0,6.0
2015-04-23,33.0,29.0,10.0,18.0,4.0
2015-04-23,31.0,34.0,7.0,17.0,4.0
2015-04-22,36.0,32.0,8.0,10.0,5.0
2015-04-22,33.0,34.0,7.0,14.0,5.0
2015-04-21,35.0,34.0,7.0,13.0,5.0
2015-04-20,34.0,35.0,7.0,13.0,5.0
2015-04-20,32.0,34.0,8.0,15.0,5.0
2015-04-19,34.0,35.0,8.0,13.0,5.0
2015-04-19,34.0,30.0,10.0,13.0,4.0
2015-04-19,32.0,34.0,9.0,15.0,4.0
2015-04-19,34.0,32.0,10.0,11.0,5.0
2015-04-18,33.0,36.0,8.0,13.0,5.0
2015-04-17,36.0,32.0,8.0,13.0,5.0
2015-04-17,34.0,34.0,9.0,14.0,5.0
2015-04-17,34.0,33.0,7.0,17.0,3.0
2015-04-16,33.0,34.0,9.0,14.0,4.0
2015-04-16,34.0,34.0,7.0,14.0,5.0
2015-04-16,33.0,34.0,8.0,16.0,4.0
2015-04-15,34.0,35.0,8.0,13.0,5.0
2015-04-15,33.0,35.0,7.0,10.0,8.0
2015-04-14,33.0,35.0,8.0,13.0,5.0
2015-04-13,33.0,34.0,8.0,13.0,6.0
2015-04-13,34.0,32.0,9.0,14.0,5.0
2015-04-12,33.0,36.0,7.0,13.0,5.0
2015-04-12,33.0,33.0,9.0,13.0,6.0
2015-04-12,39.0,33.0,8.0,7.0,7.0
2015-04-12,33.0,33.0,8.0,15.0,5.0
2015-04-11,34.0,34.0,7.0,13.0,6.0
2015-04-10,33.0,35.0,8.0,13.0,5.0
2015-04-09,36.0,34.0,7.0,11.0,6.0
2015-04-09,31.0,33.0,8.0,16.0,6.0
2015-04-09,35.0,34.0,8.0,12.0,4.0
2015-04-09,31.0,35.0,9.0,15.0,4.0
2015-04-09,31.0,37.0,8.0,16.0,4.0
2015-04-08,34.0,33.0,12.0,12.0,4.0
2015-04-08,34.0,35.0,8.0,13.0,5.0
2015-04-07,33.0,35.0,8.0,14.0,5.0
2015-04-07,30.0,33.0,8.0,19.0,4.0
2015-04-06,31.0,33.0,10.0,15.0,4.0
2015-04-04,34.0,33.0,10.0,13.0,4.0
2015-04-03,33.0,33.0,7.0,14.0,7.0
2015-04-03,31.0,33.0,9.0,18.0,3.0
2015-04-02,37.0,35.0,7.0,12.0,5.0
2015-04-02,33.0,33.0,7.0,17.0,5.0
2015-04-01,32.0,34.0,9.0,15.0,5.0
2015-04-01,36.0,34.0,8.0,13.0,4.0
2015-03-31,35.0,36.0,7.0,12.0,5.0
2015-03-30,35.0,35.0,8.0,12.0,5.0
2015-03-30,33.0,32.0,8.0,16.0,5.0
2015-03-29,36.0,32.0,9.0,12.0,5.0
2015-03-29,36.0,34.0,6.0,10.0,7.0
2015-03-29,34.0,34.0,8.0,15.0,4.0
2015-03-28,32.0,36.0,8.0,13.0,6.0
2015-03-26,31.0,33.0,9.0,16.0,5.0
2015-03-26,36.0,34.0,7.0,13.0,5.0
2015-03-26,34.0,34.0,5.0,15.0,6.0
2015-03-25,34.0,33.0,8.0,13.0,7.0
2015-03-25,34.0,35.0,8.0,12.0,6.0
2015-03-25,32.0,33.0,8.0,18.0,4.0
2015-03-24,35.0,35.0,8.0,12.0,6.0
2015-03-23,34.0,34.0,8.0,12.0,6.0
2015-03-23,34.0,33.0,8.0,14.0,5.0
2015-03-22,35.0,35.0,8.0,10.0,7.0
2015-03-22,33.0,33.0,8.0,12.0,5.0
2015-03-22,31.0,33.0,9.0,16.0,5.0
2015-03-21,30.0,34.0,10.0,17.0,3.0
2015-03-20,33.0,35.0,8.0,14.0,5.0
2015-03-19,36.0,33.0,7.0,14.0,6.0
2015-03-19,31.0,34.0,9.0,17.0,5.0
2015-03-19,35.0,33.0,8.0,13.0,6.0
2015-03-18,33.0,34.0,8.0,14.0,6.0
2015-03-17,34.0,36.0,7.0,12.0,6.0
2015-03-16,33.0,35.0,7.0,13.0,7.0
2015-03-16,33.0,32.0,7.0,17.0,4.0
2015-03-15,31.0,29.0,8.0,15.0,8.0
2015-03-15,36.0,35.0,8.0,9.0,4.0
2015-03-15,34.0,34.0,8.0,15.0,5.0
2015-03-13,34.0,34.0,7.0,14.0,5.0
2015-03-13,33.0,35.0,7.0,16.0,4.0
2015-03-12,29.0,32.0,8.0,18.0,6.0
2015-03-12,33.0,32.0,7.0,16.0,6.0
2015-03-12,33.0,35.0,7.0,14.0,7.0
2015-03-11,34.0,35.0,7.0,14.0,5.0
2015-03-11,33.0,34.0,8.0,13.0,6.0
2015-03-10,33.0,31.0,8.0,15.0,6.0
2015-03-09,35.0,31.0,8.0,14.0,6.0
2015-03-08,34.0,30.0,5.0,15.0,8.0
2015-03-08,32.0,33.0,9.0,15.0,6.0
2015-03-06,34.0,33.0,8.0,15.0,5.0
2015-03-06,34.0,34.0,8.0,14.0,7.0
2015-03-05,31.0,33.0,8.0,16.0,5.0
2015-03-05,31.0,35.0,6.0,15.0,8.0
2015-03-04,34.0,34.0,8.0,14.0,6.0
2015-03-03,36.0,34.0,5.0,14.0,6.0
2015-03-02,35.0,32.0,7.0,15.0,6.0
2015-03-01,34.0,31.0,7.0,14.0,7.0
2015-03-01,32.0,34.0,8.0,14.0,5.0
2015-02-27,34.0,34.0,8.0,14.0,5.0
2015-02-27,31.0,33.0,9.0,16.0,6.0
2015-02-26,33.0,34.0,8.0,13.0,6.0
2015-02-26,34.0,35.0,6.0,14.0,6.0
2015-02-25,33.0,33.0,8.0,15.0,6.0
2015-02-24,35.0,33.0,6.0,14.0,7.0
2015-02-23,28.0,34.0,10.0,19.0,4.0
2015-02-23,33.0,33.0,8.0,13.0,7.0
2015-02-23,34.0,32.0,8.0,13.0,8.0
2015-02-22,32.0,36.0,7.0,11.0,8.0
2015-02-22,32.0,32.0,9.0,15.0,6.0
2015-02-20,33.0,34.0,8.0,13.0,6.0
2015-02-20,35.0,33.0,6.0,15.0,7.0
2015-02-19,31.0,32.0,9.0,17.0,6.0
2015-02-19,32.0,33.0,9.0,15.0,6.0
2015-02-18,32.0,34.0,8.0,14.0,6.0
2015-02-17,33.0,34.0,6.0,15.0,7.0
2015-02-16,32.0,32.0,6.0,16.0,8.0
2015-02-16,28.0,35.0,6.0,18.0,7.0
2015-02-15,30.0,31.0,9.0,16.0,8.0
2015-02-15,31.0,33.0,10.0,15.0,5.0
2015-02-15,36.0,32.0,10.0,9.0,7.0
2015-02-13,32.0,35.0,7.0,15.0,7.0
2015-02-12,32.0,34.0,7.0,16.0,4.0
2015-02-12,31.0,34.0,9.0,14.0,6.0
2015-02-12,31.0,34.0,7.0,15.0,7.0
2015-02-12,33.0,35.0,8.0,14.0,6.0
2015-02-11,32.0,33.0,7.0,15.0,7.0
2015-02-10,33.0,35.0,6.0,13.0,8.0
2015-02-10,34.0,36.0,6.0,9.0,7.0
2015-02-09,34.0,33.0,7.0,14.0,7.0
2015-02-08,34.0,31.0,9.0,14.0,6.0
2015-02-08,33.0,34.0,8.0,15.0,4.0
2015-02-06,32.0,33.0,7.0,15.0,8.0
2015-02-06,32.0,34.0,7.0,15.0,8.0
2015-02-05,31.0,34.0,8.0,16.0,5.0
2015-02-05,32.0,33.0,9.0,15.0,5.0
2015-02-04,34.0,33.0,6.0,13.0,7.0
2015-02-03,33.0,33.0,7.0,14.0,7.0
2015-02-02,33.0,35.0,7.0,14.0,6.0
2015-02-02,31.0,34.0,8.0,14.0,5.0
2015-02-02,27.0,33.0,6.0,18.0,8.0
2015-02-01,31.0,31.0,8.0,15.0,9.0
2015-01-30,32.0,35.0,7.0,15.0,6.0
2015-01-30,32.0,33.0,5.0,18.0,6.0
2015-01-29,34.0,35.0,10.0,14.0,4.0
2015-01-29,34.0,34.0,6.0,14.0,7.0
2015-01-28,33.0,33.0,6.0,16.0,7.0
2015-01-27,34.0,33.0,7.0,14.0,7.0
2015-01-26,34.0,33.0,6.0,15.0,7.0
2015-01-26,28.0,39.0,4.0,14.0,8.0
2015-01-25,31.0,30.0,7.0,23.0,3.0
2015-01-25,31.0,30.0,8.0,17.0,7.0
2015-01-25,34.0,35.0,9.0,13.0,6.0
2015-01-25,32.0,32.0,6.0,15.0,9.0
2015-01-23,32.0,32.0,7.0,15.0,7.0
2015-01-22,32.0,36.0,9.0,13.0,6.0
2015-01-22,31.0,33.0,7.0,17.0,8.0
2015-01-21,33.0,34.0,6.0,14.0,8.0
2015-01-20,32.0,30.0,8.0,15.0,10.0
2015-01-19,32.0,32.0,8.0,15.0,7.0
2015-01-19,30.0,33.0,11.0,11.0,9.0
2015-01-19,31.0,31.0,8.0,16.0,7.0
2015-01-18,29.0,28.0,9.0,15.0,11.0
2015-01-18,35.0,36.0,8.0,13.0,4.0
2015-01-16,31.0,32.0,7.0,18.0,7.0
2015-01-15,31.0,33.0,7.0,16.0,7.0
2015-01-15,33.0,34.0,7.0,18.0,3.0
2015-01-15,32.0,35.0,9.0,14.0,6.0
2015-01-15,32.0,32.0,6.0,16.0,8.0
2015-01-15,28.0,33.0,7.0,20.0,6.0
2015-01-14,32.0,34.0,6.0,15.0,7.0
2015-01-13,32.0,33.0,7.0,14.0,7.0
2015-01-13,33.0,34.0,8.0,11.0,8.0
2015-01-12,32.0,33.0,6.0,17.0,6.0
2015-01-11,34.0,28.0,8.0,16.0,8.0
2015-01-11,32.0,37.0,10.0,13.0,4.0
2015-01-09,32.0,32.0,7.0,18.0,6.0
2015-01-08,33.0,34.0,8.0,14.0,6.0
2015-01-08,33.0,33.0,8.0,13.0,7.0
2015-01-08,28.0,35.0,6.0,18.0,5.0
2015-01-07,32.0,33.0,7.0,15.0,7.0
2015-01-06,33.0,33.0,7.0,13.0,8.0
2015-01-05,31.0,34.0,7.0,14.0,8.0
2015-01-04,34.0,36.0,9.0,12.0,5.0
2015-01-02,32.0,33.0,8.0,17.0,4.0
2014-12-23,29.0,33.0,6.0,19.0,6.0
2014-12-22,32.0,36.0,6.0,16.0,5.0
2014-12-21,35.0,35.0,9.0,12.0,4.0
2014-12-19,30.0,33.0,10.0,21.0,3.0
2014-12-19,32.0,34.0,6.0,15.0,8.0
2014-12-19,29.0,36.0,6.0,16.0,5.0
2014-12-18,34.0,35.0,9.0,13.0,4.0
2014-12-18,30.0,35.0,6.0,16.0,8.0
2014-12-17,33.0,33.0,8.0,14.0,7.0
2014-12-16,33.0,34.0,6.0,16.0,6.0
2014-12-16,28.0,33.0,14.0,14.0,5.0
2014-12-15,32.0,34.0,6.0,14.0,8.0
2014-12-15,32.0,29.0,9.0,13.0,9.0
2014-12-15,28.0,35.0,5.0,19.0,7.0
2014-12-14,29.0,32.0,12.0,16.0,5.0
2014-12-14,34.0,36.0,10.0,12.0,5.0
2014-12-12,32.0,32.0,7.0,16.0,7.0
2014-12-12,33.0,34.0,8.0,18.0,2.0
2014-12-11,34.0,35.0,9.0,14.0,4.0
2014-12-11,32.0,34.0,7.0,14.0,7.0
2014-12-10,33.0,33.0,6.0,15.0,7.0
2014-12-09,32.0,32.0,8.0,15.0,7.0
2014-12-08,34.0,33.0,6.0,15.0,6.0
2014-12-07,30.0,31.0,8.0,19.0,5.0
2014-12-07,33.0,36.0,8.0,15.0,4.0
2014-12-05,32.0,32.0,6.0,17.0,7.0
2014-12-04,29.0,34.0,6.0,19.0,6.0
2014-12-04,33.0,35.0,9.0,14.0,4.0
2014-12-04,31.0,32.0,7.0,15.0,8.0
2014-12-03,32.0,31.0,6.0,17.0,7.0
2014-12-02,32.0,33.0,7.0,16.0,7.0
2014-12-01,32.0,32.0,8.0,15.0,6.0
2014-11-30,28.0,31.0,9.0,18.0,7.0
2014-11-30,30.0,32.0,7.0,16.0,6.0
2014-11-30,32.0,35.0,9.0,14.0,5.0
2014-11-28,32.0,34.0,7.0,15.0,6.0
2014-11-27,32.0,37.0,9.0,14.0,4.0
2014-11-27,31.0,31.0,8.0,17.0,6.0
2014-11-27,30.0,31.0,6.0,19.0,6.0
2014-11-26,33.0,32.0,6.0,16.0,7.0
2014-11-25,32.0,33.0,7.0,16.0,6.0
2014-11-24,30.0,34.0,6.0,18.0,6.0
2014-11-24,30.0,33.0,7.0,19.0,6.0
2014-11-23,27.0,32.0,7.0,18.0,7.0
2014-11-23,31.0,36.0,9.0,15.0,5.0
2014-11-21,33.0,33.0,7.0,16.0,6.0
2014-11-21,33.0,34.0,8.0,15.0,5.0
2014-11-20,33.0,36.0,9.0,14.0,4.0
2014-11-20,34.0,33.0,7.0,15.0,6.0
2014-11-20,30.0,33.0,7.0,19.0,4.0
2014-11-19,34.0,33.0,7.0,14.0,6.0
2014-11-18,32.0,34.0,7.0,15.0,6.0
2014-11-17,33.0,32.0,7.0,15.0,8.0
2014-11-17,34.0,33.0,5.0,18.0,5.0
2014-11-16,29.0,30.0,9.0,16.0,7.0
2014-11-16,35.0,36.0,7.0,11.0,5.0
2014-11-14,31.0,33.0,7.0,18.0,5.0
2014-11-14,30.0,34.0,8.0,19.0,3.0
2014-11-13,33.0,35.0,9.0,13.0,4.0
2014-11-13,33.0,32.0,8.0,15.0,6.0
2014-11-12,32.0,35.0,7.0,15.0,6.0
2014-11-11,33.0,34.0,7.0,15.0,6.0
2014-11-10,32.0,33.0,6.0,17.0,6.0
2014-11-10,32.0,29.0,9.0,14.0,7.0
2014-11-09,31.0,32.0,11.0,14.0,6.0
2014-11-09,30.0,29.0,10.0,16.0,7.0
2014-11-09,34.0,36.0,8.0,13.0,4.0
2014-11-07,29.0,34.0,6.0,23.0,4.0
2014-11-07,33.0,33.0,7.0,16.0,6.0
2014-11-07,29.0,32.0,9.0,19.0,4.0
2014-11-06,33.0,35.0,9.0,14.0,4.0
2014-11-06,32.0,33.0,8.0,15.0,7.0
2014-11-05,32.0,33.0,7.0,17.0,7.0
2014-11-04,32.0,34.0,7.0,15.0,6.0
2014-11-03,33.0,34.0,8.0,15.0,5.0
2014-11-02,30.0,29.0,10.0,16.0,6.0
2014-11-02,34.0,35.0,9.0,13.0,4.0
2014-11-01,27.0,31.0,9.0,24.0,3.0
2014-10-31,31.0,32.0,7.0,18.0,6.0
2014-10-30,34.0,34.0,8.0,15.0,5.0
2014-10-30,33.0,32.0,7.0,15.0,7.0
2014-10-29,31.0,34.0,6.0,17.0,7.0
2014-10-28,32.0,33.0,8.0,17.0,5.0
2014-10-27,32.0,32.0,8.0,18.0,6.0
2014-10-26,30.0,30.0,9.0,19.0,4.0
2014-10-26,31.0,31.0,7.0,18.0,5.0
2014-10-26,34.0,36.0,8.0,13.0,3.0
2014-10-24,33.0,33.0,7.0,16.0,6.0
2014-10-24,33.0,33.0,6.0,18.0,4.0
2014-10-23,33.0,35.0,9.0,15.0,3.0
2014-10-23,34.0,34.0,6.0,15.0,6.0
2014-10-22,31.0,33.0,7.0,17.0,6.0
2014-10-21,32.0,33.0,8.0,16.0,5.0
2014-10-20,31.0,33.0,7.0,15.0,6.0
2014-10-19,28.0,31.0,7.0,18.0,8.0
2014-10-19,34.0,36.0,9.0,13.0,3.0
2014-10-17,32.0,35.0,7.0,16.0,5.0
2014-10-16,29.0,31.0,7.0,24.0,5.0
2014-10-16,31.0,34.0,7.0,19.0,4.0
2014-10-16,33.0,35.0,10.0,14.0,4.0
2014-10-16,31.0,32.0,8.0,18.0,7.0
2014-10-15,31.0,33.0,7.0,19.0,5.0
2014-10-14,30.0,34.0,8.0,18.0,5.0
2014-10-14,30.0,33.0,8.0,16.0,5.0
2014-10-13,31.0,34.0,7.0,17.0,4.0
2014-10-12,28.0,32.0,8.0,19.0,5.0
2014-10-12,31.0,35.0,11.0,14.0,4.0
2014-10-12,35.0,36.0,9.0,13.0,3.0
2014-10-10,31.0,31.0,7.0,25.0,2.0
2014-10-10,32.0,34.0,9.0,16.0,5.0
2014-10-09,31.0,34.0,8.0,18.0,4.0
2014-10-09,34.0,35.0,9.0,13.0,4.0
2014-10-09,30.0,35.0,9.0,15.0,5.0
2014-10-09,28.0,35.0,9.0,17.0,4.0
2014-10-08,33.0,34.0,7.0,14.0,6.0
2014-10-07,32.0,34.0,8.0,15.0,5.0
2014-10-06,35.0,33.0,8.0,13.0,4.0
2014-10-05,32.0,30.0,7.0,17.0,7.0
2014-10-05,31.0,37.0,8.0,15.0,3.0
2014-10-03,36.0,34.0,7.0,13.0,5.0
2014-10-02,33.0,38.0,8.0,13.0,3.0
2014-10-02,35.0,34.0,6.0,14.0,5.0
2014-10-01,31.0,38.0,7.0,15.0,5.0
2014-09-30,31.0,36.0,7.0,15.0,5.0
2014-09-29,31.0,36.0,7.0,16.0,4.0
