Date,Con,Lab,UKIP,Lib Dem,SNP,Green
2017-06-08,43.5,41.0,1.9,7.6,3.1,1.7
2017-06-07,44.0,36.0,4.0,7.0,5.0,2.0
2017-06-07,46.0,33.0,5.0,8.0,4.0,3.0
2017-06-07,41.0,40.0,2.0,8.0,4.0,2.0
2017-06-07,46.0,34.0,5.0,7.0,5.0,2.0
2017-06-07,42.0,35.0,5.0,10.0,5.0,2.0
2017-06-07,44.0,34.0,5.0,9.0,4.0,2.0
2017-06-07,39.0,41.0,4.0,6.0,3.0,7.0
2017-06-07,44.0,36.0,5.0,7.0,4.0,2.0
2017-06-07,43.0,38.0,4.0,7.0,4.0,2.0
2017-06-06,43.0,36.0,5.0,8.0,5.0,2.0
2017-06-04,45.0,34.0,5.0,8.0,4.0,3.0
2017-06-03,40.0,39.0,5.0,8.0,4.0,5.0
2017-06-03,41.0,40.0,3.0,6.0,4.0,1.0
2017-06-02,42.0,38.0,4.0,9.0,4.0,2.0
2017-06-02,45.0,34.0,5.0,9.0,4.0,3.0
2017-06-02,47.0,35.0,4.0,8.0,3.0,1.0
2017-06-01,39.0,35.0,6.0,8.0,,3.0
2017-06-01,45.0,36.0,4.0,8.0,7.0,7.0
2017-06-01,45.0,40.0,2.0,7.0,3.0,2.0
2017-06-01,44.0,36.0,5.0,7.0,5.0,2.0
2017-05-31,43.0,37.0,5.0,6.0,5.0,2.0
2017-05-31,42.0,39.0,4.0,7.0,4.0,2.0
2017-05-30,43.0,33.0,4.0,11.0,4.0,3.0
2017-05-29,45.0,33.0,5.0,8.0,4.0,3.0
2017-05-29,43.0,39.0,5.0,6.0,3.0,2.0
2017-05-27,43.0,37.0,4.0,8.0,2.0,1.0
2017-05-26,43.0,36.0,4.0,9.0,4.0,2.0
2017-05-26,46.0,32.0,5.0,8.0,4.0,2.0
2017-05-26,46.0,34.0,5.0,8.0,4.0,2.0
2017-05-25,44.0,38.0,5.0,7.0,4.0,2.0
2017-05-25,43.0,38.0,4.0,10.0,5.0,1.0
2017-05-24,45.0,35.0,5.0,7.0,5.0,2.0
2017-05-23,48.0,33.0,4.0,7.0,5.0,2.0
2017-05-22,42.0,34.0,4.0,9.0,4.0,4.0
2017-05-21,47.0,33.0,4.0,9.0,4.0,2.0
2017-05-20,43.0,34.0,4.0,8.0,3.0,2.0
2017-05-20,46.0,34.0,3.0,8.0,4.0,1.0
2017-05-19,44.0,35.0,3.0,9.0,5.0,2.0
2017-05-18,46.0,34.0,7.0,7.0,4.0,2.0
2017-05-17,46.0,33.0,5.0,8.0,5.0,2.0
2017-05-17,45.0,32.0,6.0,8.0,5.0,2.0
2017-05-17,49.0,34.0,2.0,7.0,6.0,3.0
2017-05-15,47.0,33.0,5.0,7.0,5.0,3.0
2017-05-15,47.0,29.0,6.0,8.0,4.0,4.0
2017-05-14,48.0,28.0,6.0,10.0,4.0,3.0
2017-05-14,48.0,28.0,5.0,7.0,6.0,3.0
2017-05-13,48.0,30.0,4.0,8.0,4.0,2.0
2017-05-12,49.0,31.0,3.0,9.0,5.0,2.0
2017-05-12,48.0,30.0,5.0,10.0,4.0,3.0
2017-05-12,47.0,32.0,5.0,8.0,5.0,2.0
2017-05-11,46.0,32.0,6.0,8.0,5.0,4.0
2017-05-10,46.0,30.0,5.0,11.0,6.0,2.0
2017-05-09,48.0,31.0,5.0,8.0,4.0,2.0
2017-05-08,44.0,28.0,8.0,11.0,4.0,5.0
2017-05-07,49.0,27.0,6.0,9.0,4.0,3.0
2017-05-06,47.0,30.0,4.0,7.0,5.0,3.0
2017-05-05,47.0,28.0,6.0,11.0,5.0,2.0
2017-05-05,46.0,28.0,8.0,10.0,4.0,4.0
2017-05-04,46.0,31.0,8.0,9.0,3.0,3.0
2017-05-03,46.0,30.0,7.0,9.0,4.0,2.0
2017-05-03,48.0,29.0,5.0,10.0,5.0,2.0
2017-05-02,47.0,30.0,5.0,10.0,5.0,2.0
2017-05-02,47.0,28.0,8.0,8.0,3.0,4.0
2017-05-01,44.0,28.0,8.0,9.0,3.0,4.0
2017-05-02,48.0,24.0,7.0,11.0,4.0,4.0
2017-04-28,44.0,31.0,6.0,11.0,4.0,2.0
2017-04-28,47.0,28.0,8.0,9.0,4.0,4.0
2017-04-28,47.0,30.0,7.0,8.0,5.0,3.0
2017-04-27,42.0,31.0,8.0,10.0,4.0,4.0
2017-04-26,45.0,29.0,7.0,10.0,5.0,3.0
2017-04-25,49.0,26.0,4.0,13.0,4.0,1.0
2017-04-24,48.0,27.0,7.0,10.0,4.0,3.0
2017-04-24,49.0,27.0,5.0,10.0,5.0,3.0
2017-04-24,46.0,24.0,8.0,11.0,5.0,4.0
2017-04-23,42.0,26.0,8.0,10.0,,6.0
2017-04-22,40.0,29.0,11.0,11.0,4.0,2.0
2017-04-21,48.0,25.0,5.0,12.0,6.0,3.0
2017-04-21,48.0,26.0,8.0,10.0,4.0,3.0
2017-04-20,44.0,29.0,10.0,8.0,5.0,4.0
2017-04-20,50.0,25.0,7.0,11.0,4.0,3.0
2017-04-20,45.0,26.0,9.0,11.0,4.0,3.0
2017-04-20,44.0,25.0,9.0,12.0,6.0,3.0
2017-04-19,48.0,24.0,7.0,12.0,6.0,2.0
2017-04-18,46.0,25.0,8.0,11.0,4.0,4.0
2017-04-17,44.0,26.0,11.0,10.0,4.0,4.0
2017-04-13,44.0,23.0,10.0,12.0,6.0,4.0
2017-04-13,46.0,25.0,9.0,11.0,4.0,4.0
2017-04-13,38.0,29.0,14.0,7.0,5.0,5.0
2017-04-06,42.0,25.0,11.0,11.0,8.0,3.0
2017-04-02,43.0,25.0,11.0,11.0,5.0,4.0
2017-03-27,43.0,25.0,10.0,11.0,6.0,3.0
2017-03-21,41.0,25.0,12.0,11.0,6.0,3.0
2017-03-19,45.0,26.0,10.0,9.0,4.0,4.0
2017-03-17,42.0,25.0,10.0,12.0,5.0,4.0
2017-03-17,41.0,28.0,13.0,8.0,6.0,3.0
2017-03-15,41.0,28.0,12.0,7.0,5.0,6.0
2017-03-14,44.0,27.0,9.0,10.0,5.0,4.0
2017-03-14,43.0,30.0,6.0,13.0,4.0,4.0
2017-03-09,44.0,25.0,11.0,10.0,6.0,3.0
2017-03-05,44.0,28.0,11.0,8.0,4.0,5.0
2017-02-28,42.0,25.0,12.0,11.0,6.0,4.0
2017-02-22,41.0,25.0,13.0,11.0,6.0,3.0
2017-02-19,44.0,26.0,13.0,8.0,4.0,4.0
2017-02-16,40.0,27.0,14.0,8.0,5.0,4.0
2017-02-14,40.0,29.0,9.0,13.0,5.0,4.0
2017-02-13,40.0,24.0,15.0,11.0,6.0,4.0
2017-02-10,41.0,26.0,11.0,11.0,5.0,4.0
