Date,Con,Lab,Lib Dem,SNP,Green,Reform,UKIP,Change UK
12/12/2019,43.6,32.1,11.6,3.9,2.7,2,,
11/12/2019,45,34,9,4,3,3,,
11/12/2019,43,34,11,4,3,4,,
11/12/2019,45,33,12,4,2,2,,
11/12/2019,44,33,12,,3,2,,
11/12/2019,45,35,10,4,3,4,,
11/12/2019,44,32,13,4,3,3,,
11/12/2019,41,32,14,,3,4,,
10/12/2019,41,36,12,4,2,3,,
10/12/2019,43,33,12,4,3,3,,
10/12/2019,43,34,12,3,3,3,,
10/12/2019,42,34,14,3,3,3,,
09/12/2019,42,36,12,3,2,3,0,
08/12/2019,43,36,12,4,2,3,,
08/12/2019,43,30,12,2,4,3,,
07/12/2019,45,31,11,3,2,4,,
07/12/2019,44,33,11,4,2,3,1,
06/12/2019,43,33,13,4,3,3,,
06/12/2019,41,32,14,3,4,4,0,0
06/12/2019,46,31,13,4,2,3,,
06/12/2019,43,34,13,4,2,3,,
05/12/2019,41,33,12,4,2,3,,
05/12/2019,42,36,11,3,2,4,,
04/12/2019,44,32,13,4,3,2,,
03/12/2019,42,32,12,4,2,3,,
03/12/2019,42,33,12,5,4,4,,
02/12/2019,42,35,13,3,2,3,,
02/12/2019,44,32,15,3,3,2,,
30/11/2019,45,32,15,3,1,3,0,
30/11/2019,42,33,11,3,4,3,,
29/11/2019,43,34,13,4,3,2,,
29/11/2019,46,31,13,4,3,2,,
29/11/2019,39,33,13,4,5,4,0,0
28/11/2019,43,33,13,3,3,4,,
28/11/2019,42,34,13,3,3,4,,
26/11/2019,41,34,13,3,2,5,,
26/11/2019,43,32,13,4,2,4,,
25/11/2019,41,34,13,3,3,4,0,
25/11/2019,43,32,14,4,4,3,,
23/11/2019,43,30,16,4,3,3,,
23/11/2019,41,30,15,3,3,5,,
22/11/2019,42,30,16,4,4,3,,
22/11/2019,47,28,12,5,3,3,,
22/11/2019,42,32,14,3,3,3,,
21/11/2019,42,32,15,3,2,5,,
21/11/2019,41,28,18,2,5,3,,
20/11/2019,43,29,15,4,3,4,,
19/11/2019,42,31,15,4,2,5,,
19/11/2019,42,30,15,4,4,4,,
19/11/2019,44,28,16,4,3,3,,
18/11/2019,43,29,15,4,3,3,,
18/11/2019,42,32,13,3,3,5,,
18/11/2019,45,27,16,4,3,2,,
16/11/2019,42,28,13,3,3,5,,
16/11/2019,45,30,11,3,2,6,2,0
15/11/2019,45,28,15,4,3,4,,
15/11/2019,44,28,14,4,3,6,,
15/11/2019,37,29,16,2,5,9,,
14/11/2019,41,33,14,3,2,5,,
14/11/2019,43,30,15,4,2,5,,
12/11/2019,40,30,16,4,3,7,,
12/11/2019,42,28,15,3,4,4,,
11/11/2019,39,31,15,3,3,8,,
11/11/2019,37,27,17,3,3,9,1,1
10/11/2019,37,29,17,4,3,9,,
09/11/2019,41,29,16,3,2,6,1,0
08/11/2019,39,26,17,4,4,10,,
08/11/2019,35,29,17,4,1,10,,
08/11/2019,41,29,15,5,2,6,,
08/11/2019,40,30,15,4,3,8,,
08/11/2019,37,29,16,2,7,9,,
06/11/2019,36,25,17,4,5,11,,
05/11/2019,36,29,17,4,3,11,0,0
04/11/2019,38,25,16,4,5,11,0,0
04/11/2019,38,31,15,3,3,9,1,0
02/11/2019,40,28,14,3,2,11,1,0
01/11/2019,42,26,16,4,2,9,0,0
01/11/2019,39,27,16,5,4,7,0,0
31/10/2019,36,28,17,4,3,10,0,0
31/10/2019,36,28,14,5,4,12,0,0
31/10/2019,40,29,14,3,3,9,0,0
30/10/2019,36,21,18,4,6,13,0,0
30/10/2019,34,26,19,4,1,12,0,0
28/10/2019,41,24,20,4,3,7,0,0
28/10/2019,36,22,19,4,6,12,0,0
25/10/2019,36,23,18,4,6,12,0,0
25/10/2019,40,24,15,5,3,10,1,0
21/10/2019,37,22,19,3,7,11,1,0
21/10/2019,37,24,19,4,3,11,1,0
18/10/2019,36,27,17,4,3,11,0,0
18/10/2019,32,24,21,4,2,13,0,0
17/10/2019,33,29,18,4,4,12,0,0
17/10/2019,37,24,16,4,4,12,2,0
15/10/2019,37,22,18,4,5,11,1,0
15/10/2019,39,25,18,3,3,8,1,0
11/10/2019,33,30,17,4,3,12,0,0
10/10/2019,33,27,18,4,4,12,0,0
09/10/2019,35,22,20,4,6,12,0,1
07/10/2019,35,29,16,3,4,11,1,0
06/10/2019,33,27,19,4,3,13,1,0
04/10/2019,38,23,15,5,4,12,1,0
04/10/2019,31,26,20,3,7,11,0,0
01/10/2019,34,21,23,3,5,12,0,0
27/09/2019,33,22,21,4,5,13,0,0
27/09/2019,36,24,20,5,2,11,0,0
25/09/2019,27,24,22,4,3,16,0,0
25/09/2019,33,22,22,3,6,14,0,0
20/09/2019,30,23,22,4,5,14,0,0
20/09/2019,37,22,17,4,4,12,2,0
19/09/2019,29,27,20,4,4,13,0,1
18/09/2019,32,21,23,4,4,14,1,0
16/09/2019,33,24,23,4,4,10,0,0
13/09/2019,37,25,16,4,2,13,1,0
12/09/2019,28,27,20,4,5,13,1,1
10/09/2019,32,23,19,4,7,14,0,0
09/09/2019,38,24,20,4,3,7,1,1
08/09/2019,30,29,17,3,4,13,1,0
07/09/2019,31,28,17,5,4,13,1,0
06/09/2019,35,21,19,4,7,12,1,0
06/09/2019,31,28,19,3,2,15,0,0
06/09/2019,29,24,18,4,3,17,0,0
06/09/2019,31,27,20,3,3,13,1,0
06/09/2019,35,25,17,5,3,13,1,0
06/09/2019,31,27,19,3,6,13,1,0
04/09/2019,33,26,17,4,3,14,0,0
03/09/2019,35,25,16,4,7,11,1,0
03/09/2019,37,30,16,3,4,9,1,0
31/08/2019,35,24,18,4,4,14,0,1
30/08/2019,31,24,21,4,3,14,0,0
29/08/2019,33,22,21,4,7,12,0,0
28/08/2019,34,22,17,4,8,13,1,0
23/08/2019,33,21,19,4,7,14,0,0
23/08/2019,32,26,15,5,4,16,1,0
21/08/2019,32,22,20,4,7,12,0,0
19/08/2019,42,28,15,5,3,5,0,1
14/08/2019,30,21,20,4,8,14,1,0
12/08/2019,31,25,19,3,6,12,1,0
11/08/2019,31,27,16,3,4,16,1,0
11/08/2019,28,24,21,4,3,15,0,0
09/08/2019,31,28,13,4,5,16,1,0
06/08/2019,31,22,21,4,7,14,0,0
30/07/2019,32,22,19,4,8,13,0,0
30/07/2019,34,24,20,4,6,9,1,0
28/07/2019,29,30,16,3,5,15,1,0
27/07/2019,30,25,18,4,4,14,1,2
26/07/2019,31,21,20,5,8,13,0,0
26/07/2019,30,28,16,5,5,15,1,0
25/07/2019,28,27,19,3,4,16,1,0
24/07/2019,25,19,23,4,9,17,1,0
17/07/2019,25,21,20,4,8,19,0,0
16/07/2019,25,28,17,4,5,19,1,1
11/07/2019,24,28,15,3,5,20,1,1
11/07/2019,23,29,19,4,3,20,,
10/07/2019,24,20,19,5,9,21,0,0
07/07/2019,25,28,16,3,5,19,1,0
05/07/2019,23,25,15,5,8,22,1,1
05/07/2019,28,27,18,2,6,14,2,1
03/07/2019,24,18,20,4,9,23,0,0
25/06/2019,22,20,19,4,10,22,1,0
25/06/2019,26,24,22,4,8,12,1,0
20/06/2019,20,26,16,4,6,23,2,1
20/06/2019,24,26,18,3,6,20,1,1
19/06/2019,20,20,21,4,9,23,1,0
14/06/2019,21,21,19,3,9,24,0,0
10/06/2019,17,19,22,4,8,26,0,1
09/06/2019,23,27,17,3,5,22,1,1
07/06/2019,26,27,17,3,6,18,1,1
06/06/2019,18,20,20,5,9,26,1,0
05/06/2019,18,19,22,4,9,25,0,
01/06/2019,18,19,23,5,10,23,,
30/05/2019,20,26,16,4,5,24,1,4
30/05/2019,17,22,16,4,11,26,1,1
29/05/2019,19,19,24,6,8,22,1,1
22/05/2019,28,33,13,3,3,12,3,2
21/05/2019,27,31,15,5,4,14,1,2
21/05/2019,21,31,13,4,5,19,3,4
20/05/2019,22,26,12,4,4,25,2,2
17/05/2019,27,32,13,5,3,13,2,2
17/05/2019,24,24,18,4,6,18,2,2
16/05/2019,22,29,11,4,3,24,2,3
14/05/2019,25,25,16,5,7,18,2,2
14/05/2019,25,27,15,4,7,16,3,2
13/05/2019,21,30,13,4,5,19,2,6
13/05/2019,25,34,15,5,3,10,4,1
12/05/2019,20,27,13,3,4,20,4,6
10/05/2019,22,28,11,4,6,21,4,4
10/05/2019,27,30,18,2,6,10,3,3
09/05/2019,19,27,14,3,5,20,3,7
09/05/2019,24,24,16,5,7,18,2,2
07/05/2019,25,30,11,3,5,17,4,2
30/04/2019,29,29,13,4,5,15,2,3
24/04/2019,27,30,11,5,5,14,4,3
24/04/2019,27,36,8,4,3,13,5,4
23/04/2019,26,33,6,5,4,17,4,4
17/04/2019,26,29,8,4,4,14,5,5
17/04/2019,29,30,10,5,5,12,4,3
16/04/2019,23,33,7,3,3,14,5,9
12/04/2019,29,36,8,5,4,,11,
11/04/2019,28,32,11,5,5,8,6,3
08/04/2019,31,40,8,4,5,,8,
08/04/2019,32,35,11,5,4,,7,
08/04/2019,37,41,10,,2,,7,1
07/04/2019,32,32,7,3,3,,9,9
05/04/2019,29,31,8,3,4,6,7,8
05/04/2019,35,34,11,4,5,,6,
03/04/2019,32,31,12,6,4,5,7,
30/03/2019,32,35,7,2,2,6,6,9
30/03/2019,36,41,7,3,3,,7,
29/03/2019,35,35,9,4,5,,9,
25/03/2019,36,33,11,5,4,5,4,
24/03/2019,33,33,8,3,3,,7,9
22/03/2019,36,35,7,5,4,,9,
21/03/2019,34,35,8,3,4,,7,6
19/03/2019,38,34,8,5,4,1,7,2
17/03/2019,34,35,8,3,3,,6,7
15/03/2019,35,39,10,3,,,,
15/03/2019,35,33,11,,,,,
15/03/2019,35,31,12,4,4,4,6,
15/03/2019,35,35,7,5,4,,8,4
15/03/2019,38,34,8,5,3,,8,
11/03/2019,41,31,8,5,6,,6,
08/03/2019,37,31,10,3,5,,6,5
08/03/2019,39,34,12,3,4,,5,
05/03/2019,36,34,8,3,3,,6,8
