Date,Con,Lab,Lib Dem
1959-10-08,49.1,45.4,5.0
1959-10-02,48.0,44.1,7.9
1959-10-03,48.5,46.5,4.5
1959-10-03,46.5,47.5,5.5
1959-10-01,49.0,46.0,5.0
1959-10-06,49.7,46.2,3.5
1959-10-02,48.4,46.9,4.7
1959-10-05,47.2,47.2,5.0
1959-10-02,45.0,47.0,7.5
1959-10-01,48.5,46.6,4.3
1959-09-29,49.5,44.5,5.5
1959-09-25,46.0,46.5,7.0
1959-09-24,47.8,45.6,5.6
1959-09-24,49.7,44.8,4.9
1959-09-22,51.1,43.0,5.4
1959-09-21,47.4,43.5,9.1
1959-09-17,50.6,43.9,4.9
1959-09-01,50.5,43.5,5.5
1959-09-15,50.8,42.7,5.9
1959-09-08,51.2,42.9,5.9
1959-09-11,49.0,44.5,6.0
1959-09-01,48.3,41.9,9.3
1959-08-07,47.5,41.5,10.0
1959-07-23,46.5,43.0,9.5
1959-07-17,46.0,42.0,11.0
1959-07-04,45.5,41.5,12.5
1959-06-06,45.0,43.5,11.0
1959-04-10,44.5,44.0,10.0
1959-03-13,45.5,47.0,6.5
1959-02-01,43.0,47.0,8.5
1959-01-24,44.5,46.5,8.5
1959-01-10,45.5,45.0,8.5
1958-11-01,46.5,42.5,10.0
1958-10-10,45.5,41.5,12.0
1958-09-19,44.0,43.0,13.0
1958-08-01,42.5,42.0,15.0
1958-06-20,39.5,43.0,17.0
1958-06-06,39.0,45.5,15.0
1958-05-03,34.0,47.0,19.0
1958-04-19,38.0,46.5,15.0
1958-02-14,36.0,44.5,18.5
1958-01-17,40.0,47.5,12.0
1957-12-01,41.5,47.5,9.5
1957-11-22,38.5,49.0,12.0
1957-11-02,36.0,48.5,14.5
1957-10-04,37.0,49.0,13.0
1957-09-19,33.5,52.0,14.0
1957-09-29,40.5,48.5,10.0
1957-08-16,41.5,49.0,8.5
1957-07-05,41.5,49.5,8.0
1957-01-01,41.5,50.0,7.5
1957-04-12,41.0,51.0,7.0
1957-03-15,40.0,51.5,7.0
1957-02-01,42.0,48.0,8.5
1957-01-12,43.5,48.5,7.0
1956-11-22,45.0,46.0,8.5
1956-11-10,46.0,45.0,8.0
1956-10-01,42.5,47.0,9.5
1956-09-07,43.0,46.5,10.0
1956-08-16,43.5,49.5,6.0
1956-07-13,42.0,49.0,8.0
1956-05-19,43.0,47.0,9.0
1956-04-20,43.0,48.0,8.0
1956-04-04,44.5,47.5,7.0
1956-02-11,44.0,46.0,9.0
1956-01-14,45.5,46.5,7.5
1955-12-24,44.4,45.5,9.0
1955-10-19,46.5,44.5,8.0
1955-09-09,48.0,44.0,7.0
1955-08-01,44.5,47.5,7.0
1955-07-02,47.0,43.0,9.0
