Date,Lab,Con,Lib Dem
1966-03-31,48.0,41.9,8.5
1966-03-01,54.1,37.4,7.7
1966-03-29,50.6,41.6,7.4
1966-03-28,51.0,40.0,8.0
1966-03-01,52.5,40.0,7.5
1966-03-26,52.2,39.6,7.6
1966-03-01,49.7,41.6,8.3
1966-03-01,50.5,42.0,7.0
1966-03-01,53.5,39.0,7.5
1966-03-01,50.5,42.0,7.0
1966-03-21,52.0,39.5,7.8
1966-03-01,49.7,42.4,7.4
1966-03-01,52.0,41.5,6.0
1966-03-01,51.0,39.0,9.5
1966-03-01,55.0,37.5,7.5
1966-03-14,52.6,39.2,7.7
1966-03-01,49.6,41.9,8.1
1966-03-01,52.5,40.5,6.5
1966-03-01,51.0,41.0,7.5
1966-03-01,54.5,40.0,5.5
1966-03-07,53.8,39.4,6.5
1966-03-01,54.0,39.0,7.0
1966-03-01,49.4,44.9,5.2
1966-03-01,51.0,40.0,7.5
1966-02-28,53.0,40.1,6.7
1966-02-01,51.0,42.0,6.5
1966-02-14,53.8,39.8,6.3
1966-02-01,50.0,42.5,7.0
1966-01-31,54.3,39.0,6.4
1966-01-10,53.3,39.2,7.3
1966-01-01,47.5,42.0,9.5
1965-12-01,48.5,40.5,10.0
1965-12-13,55.5,36.3,8.0
1965-11-30,50.4,41.6,7.7
1965-11-01,48.5,42.0,8.5
1965-11-15,56.0,37.2,6.5
1965-10-25,51.0,40.6,8.0
1965-10-01,49.0,41.5,9.0
1965-09-01,48.5,42.0,8.5
1965-09-27,46.4,42.4,10.9
1965-09-13,46.1,43.5,10.1
1965-08-01,41.5,49.0,8.5
1965-08-09,43.1,46.9,9.5
1965-07-26,47.7,42.4,9.5
1965-07-01,45.0,46.5,8.0
1965-07-12,47.3,42.5,9.9
1965-06-29,45.8,43.7,9.9
1965-06-15,47.0,41.6,10.4
1965-06-01,42.5,47.0,9.5
1965-05-24,46.3,42.6,10.3
1965-05-01,43.0,44.0,12.5
1965-05-10,47.2,41.4,11.0
1965-04-01,47.5,39.5,12.5
1965-04-12,46.2,40.8,12.5
1965-03-29,48.7,39.2,11.7
1965-03-01,46.0,43.5,9.5
1965-03-15,50.2,41.1,8.4
1965-02-01,45.0,45.5,9.0
1965-02-16,48.2,43.5,8.2
1965-01-11,48.8,40.2,10.4
1965-01-01,46.5,42.5,10.5
1964-12-01,50.5,40.0,9.0
1964-12-07,48.7,38.8,12.2
1964-11-22,51.7,37.9,10.4
1964-11-01,50.0,38.5,11.0
1964-11-08,50.3,39.0,10.5
1964-10-26,50.7,36.6,12.0
