Date,Con,Lab,Lib Dem
1983-06-09,42.4,27.6,25.4
1983-06-08,47.0,26.0,25.0
1983-06-08,47.0,25.0,26.0
1983-06-08,45.5,26.5,26.0
1983-06-08,46.0,26.0,26.0
1983-06-08,47.0,25.0,26.0
1983-06-08,44.0,28.0,26.0
1983-06-07,46.0,28.0,24.0
1983-06-07,46.0,23.0,29.0
1983-06-06,47.0,26.0,25.0
1983-06-05,45.0,24.0,28.0
1983-06-03,47.0,28.0,23.0
1983-06-03,44.0,27.0,27.5
1983-06-03,47.0,29.0,23.0
1983-06-02,45.5,31.5,22.0
1983-06-02,45.0,28.0,25.0
1983-06-02,43.0,32.0,23.0
1983-06-01,47.0,30.0,22.0
1983-06-01,46.0,28.0,24.0
1983-05-31,44.0,32.0,21.0
1983-05-31,44.0,29.0,25.0
1983-05-30,47.5,28.0,23.0
1983-05-30,41.0,30.0,24.0
1983-05-27,47.0,30.0,21.0
1983-05-27,49.5,31.0,19.0
1983-05-26,49.0,31.5,18.0
1983-05-26,51.0,29.0,19.0
1983-05-25,47.5,32.5,19.0
1983-05-25,48.0,33.0,18.0
1983-05-25,46.0,30.0,23.0
1983-05-24,45.0,32.0,21.0
1983-05-23,48.0,33.0,18.0
1983-05-23,45.0,32.0,20.0
1983-05-23,51.0,33.0,15.0
1983-05-23,52.0,33.0,14.0
1983-05-20,45.0,36.0,18.0
1983-05-20,47.0,34.0,18.0
1983-05-19,46.0,37.0,16.0
1983-05-18,47.0,30.0,21.0
1983-05-18,45.0,35.0,17.0
1983-05-17,49.0,31.0,19.0
1983-05-17,44.0,33.0,21.0
1983-05-16,46.0,33.0,19.0
1983-05-16,44.0,37.0,17.0
1983-05-16,46.0,31.0,21.0
1983-05-12,49.0,34.0,15.0
1983-05-11,46.0,32.0,22.0
1983-05-11,52.0,31.0,17.0
1983-05-10,46.0,31.0,21.0
1983-05-09,49.0,31.5,17.5
1983-04-25,45.0,30.0,23.0
1983-04-23,46.0,33.0,21.0
1983-04-12,43.0,34.0,22.0
1983-04-11,40.5,35.0,22.5
1983-03-23,43.0,28.0,28.0
1983-03-21,39.5,28.5,29.0
1983-03-16,42.0,28.0,27.0
1983-03-09,41.0,27.0,30.0
1983-02-26,39.0,26.0,34.0
1983-02-23,46.0,32.0,21.0
1983-02-14,43.5,32.5,22.0
1983-02-09,45.0,32.0,21.0
1983-01-26,44.0,36.0,19.0
1983-01-17,44.0,31.5,22.5
1983-01-12,44.0,35.0,20.0
1982-12-15,42.0,35.0,21.0
1982-12-13,41.0,34.5,22.0
1982-11-24,43.0,35.0,21.0
1982-11-15,42.0,34.5,21.5
1982-11-10,42.0,33.0,23.0
1982-10-26,43.0,32.0,23.0
1982-10-25,40.5,29.0,27.0
1982-10-12,42.0,33.0,23.0
1982-09-13,44.0,30.5,23.0
1982-08-31,42.0,30.0,27.0
1982-08-16,44.5,26.5,27.5
1982-07-31,44.0,30.0,23.0
1982-07-12,46.5,27.5,24.0
1982-06-30,45.0,31.0,22.0
1982-06-23,51.0,24.0,23.0
1982-06-14,45.0,25.0,28.5
1982-05-31,48.0,28.0,24.0
1982-05-26,51.0,25.0,23.0
1982-05-23,48.0,31.0,20.0
1982-05-16,41.5,28.0,29.0
1982-05-16,48.0,33.0,17.0
1982-05-05,38.0,32.0,28.0
1982-04-30,44.0,30.0,24.0
1982-04-30,43.0,30.0,25.0
1982-04-24,39.0,32.0,27.0
1982-04-21,36.0,30.0,31.0
1982-04-14,33.0,34.0,30.0
1982-04-12,31.5,29.0,37.0
1982-03-31,35.0,30.0,33.0
1982-03-15,31.5,33.0,33.0
1982-02-28,34.0,34.0,30.0
1982-02-15,27.5,34.0,36.0
1982-02-05,41.0,36.0,21.0
1982-01-31,30.0,33.0,34.0
1982-01-25,29.0,30.0,40.0
1982-01-18,27.5,29.5,39.5
1981-12-14,23.0,23.5,50.5
1981-12-14,27.0,29.0,43.0
1981-12-03,30.5,34.3,33.1
1981-12-01,27.0,27.0,44.0
1981-12-01,28.6,32.1,37.1
1981-11-16,26.5,29.0,42.0
1981-11-06,29.2,38.2,30.6
1981-10-27,27.0,31.0,40.0
1981-10-26,29.5,28.0,40.0
1981-10-08,32.1,40.4,24.7
1981-09-18,27.0,38.0,33.0
1981-09-14,32.0,36.5,29.0
1981-09-11,33.5,37.4,27.7
1981-08-17,28.0,38.5,32.5
1981-08-07,31.6,42.1,24.3
1981-07-31,30.0,39.0,29.0
1981-07-13,30.0,40.5,26.5
1981-07-09,31.5,41.2,24.2
1981-06-30,30.0,36.0,31.0
1981-06-22,31.0,39.0,28.0
1981-06-16,37.0,39.0,22.0
1981-06-15,29.5,37.5,30.5
1981-06-05,37.7,39.3,20.8
1981-05-30,35.0,39.0,24.0
1981-05-11,32.0,35.5,29.0
1981-05-11,38.0,41.0,19.0
1981-05-07,30.9,39.3,26.6
1981-04-27,30.0,38.0,29.0
1981-04-13,30.0,34.5,33.0
1981-04-03,35.9,42.1,19.5
1981-03-23,33.0,41.0,25.0
1981-03-23,28.0,38.0,32.0
1981-03-16,30.0,34.0,32.0
1981-03-02,37.0,41.1,16.5
1981-02-13,34.5,50.9,12.2
1981-02-11,36.0,35.5,26.5
1981-01-24,35.0,45.0,17.0
1981-01-19,33.0,46.5,18.5
1981-01-09,35.4,51.2,11.9
1980-12-19,32.0,56.0,11.0
1980-12-15,35.0,47.5,14.5
1980-12-04,37.2,47.7,12.6
1980-11-17,36.5,47.0,15.0
1980-11-11,38.0,47.0,13.0
1980-11-07,39.4,46.5,12.4
1980-10-31,36.0,50.0,13.0
1980-10-20,40.0,43.0,13.5
1980-10-06,40.0,43.0,13.5
1980-10-02,39.8,47.6,11.0
1980-09-30,34.0,50.0,15.0
1980-09-29,37.0,46.0,15.0
1980-09-15,35.5,45.0,16.5
1980-09-05,40.0,46.3,11.3
1980-08-18,38.5,44.0,14.5
1980-08-01,38.1,47.3,11.7
1980-07-31,37.0,48.0,13.0
1980-07-27,37.0,47.0,13.0
1980-07-14,40.0,43.5,14.0
1980-07-03,41.0,46.9,10.4
1980-06-23,41.0,43.0,13.0
1980-06-16,40.5,45.0,11.5
1980-06-06,43.0,43.3,11.7
1980-05-19,39.0,43.5,15.5
1980-05-01,41.4,46.5,10.7
1980-04-28,39.0,44.0,14.0
1980-04-14,36.5,45.0,15.0
1980-04-11,35.5,49.6,10.9
1980-03-28,42.0,46.0,9.0
1980-03-17,37.0,49.5,11.5
1980-03-05,35.7,51.9,11.2
1980-02-29,38.0,46.0,13.0
1980-02-25,38.0,46.0,14.0
1980-02-11,37.5,42.0,18.0
1980-02-08,37.2,50.3,10.7
1980-01-19,39.0,47.0,12.0
1980-01-14,36.0,45.0,16.0
1980-01-04,40.1,48.5,9.5
1979-12-31,40.0,43.0,14.0
1979-12-10,38.0,42.0,18.0
1979-12-06,42.1,46.3,10.1
1979-12-02,40.0,45.0,13.0
1979-11-12,39.0,43.5,15.5
1979-11-09,40.9,47.2,10.0
1979-10-15,40.5,45.0,12.5
1979-10-06,44.9,46.0,7.4
1979-09-30,41.0,46.0,11.0
1979-09-17,40.5,45.0,12.0
1979-09-02,42.8,47.3,8.6
1979-08-31,42.0,43.0,12.0
1979-08-13,41.5,44.0,12.5
1979-08-05,43.1,45.4,9.5
1979-07-31,44.0,45.0,9.0
1979-07-16,41.0,46.0,11.5
1979-07-07,44.2,45.5,8.2
1979-06-18,42.0,43.5,12.0
