Date,Lab,Con,Reform,Lib Dem,Green,SNP,PC
2025-07-02,22.0,16.0,30.0,15.0,11.0,3.0,1.0
2025-06-25,22.0,18.0,30.0,13.0,11.0,3.0,1.0
2025-06-18,23.0,16.0,31.0,12.0,11.0,3.0,1.0
2025-06-17,22.0,19.0,31.0,13.0,9.0,3.0,1.0
2025-06-11,24.0,16.0,30.0,13.0,11.0,3.0,1.0
2025-06-04,22.0,16.0,31.0,15.0,11.0,3.0,1.0
2025-05-28,22.0,16.0,32.0,13.0,11.0,3.0,1.0
2025-05-21,21.0,16.0,32.0,14.0,11.0,2.0,1.0
2025-05-14,21.0,16.0,33.0,14.0,11.0,3.0,1.0
2025-05-07,20.0,16.0,33.0,15.0,11.0,3.0,1.0
2025-04-30,21.0,19.0,29.0,13.0,11.0,3.0,1.0
2025-04-23,20.0,20.0,28.0,14.0,13.0,3.0,0.0
2025-04-16,22.0,20.0,28.0,14.0,10.0,3.0,1.0
2025-04-09,22.0,21.0,26.0,14.0,11.0,3.0,1.0
2025-04-02,22.0,20.0,28.0,13.0,11.0,3.0,1.0
2025-03-28,24.0,22.0,27.0,12.0,10.0,3.0,1.0
2025-03-26,23.0,22.0,26.0,12.0,11.0,3.0,1.0
2025-03-19,22.0,21.0,27.0,14.0,11.0,3.0,1.0
2025-03-12,24.0,21.0,27.0,11.0,10.0,3.0,1.0
2025-03-05,25.0,21.0,26.0,12.0,10.0,3.0,1.0
2025-02-26,23.0,21.0,28.0,13.0,10.0,3.0,1.0
2025-02-19,24.0,20.0,28.0,12.0,10.0,2.0,1.0
2025-02-12,23.0,21.0,29.0,12.0,9.0,3.0,1.0
2025-02-05,25.0,18.0,29.0,13.0,10.0,3.0,1.0
2025-01-29,23.0,21.0,27.0,11.0,10.0,3.0,1.0
2025-01-29,23.0,23.0,24.0,11.0,8.0,3.0,1.0
2025-01-22,22.0,23.0,26.0,12.0,10.0,3.0,1.0
2025-01-15,24.0,25.0,25.0,12.0,10.0,3.0,1.0
2025-01-08,25.0,20.0,25.0,11.0,11.0,3.0,1.0
2024-12-11,26.0,23.0,25.0,11.0,9.0,3.0,1.0
2024-12-04,23.0,26.0,24.0,11.0,9.0,3.0,1.0
2024-11-27,25.0,27.0,22.0,12.0,9.0,3.0,1.0
