Date,Lab,Con,Reform,Lib Dem,Green,SNP,PC
2025-07-07,24.0,19.0,29.0,14.0,7.0,3.0,1.0
2025-06-30,24.0,19.0,29.0,12.0,9.0,3.0,1.0
2025-06-30,22.0,21.0,28.0,15.0,8.0,3.0,1.0
2025-06-23,23.0,20.0,27.0,14.0,9.0,3.0,1.0
2025-06-16,21.0,22.0,29.0,13.0,9.0,3.0,1.0
2025-06-09,24.0,20.0,28.0,14.0,7.0,3.0,1.0
2025-06-02,23.0,21.0,28.0,14.0,8.0,2.0,1.0
2025-05-26,22.0,19.0,31.0,14.0,8.0,2.0,1.0
2025-05-19,22.0,21.0,30.0,14.0,8.0,2.0,1.0
2025-05-12,25.0,20.0,28.0,14.0,8.0,2.0,1.0
2025-05-04,23.0,21.0,27.0,15.0,8.0,3.0,1.0
2025-04-27,24.0,23.0,24.0,15.0,8.0,2.0,1.0
2025-04-21,23.0,23.0,25.0,14.0,8.0,3.0,1.0
2025-04-14,24.0,23.0,24.0,14.0,8.0,3.0,1.0
2025-04-07,24.0,23.0,24.0,17.0,7.0,2.0,0.0
2025-04-01,24.0,24.0,24.0,13.0,8.0,2.0,
2025-03-31,21.0,26.0,25.0,13.0,7.0,2.0,1.0
2025-03-24,24.0,25.0,24.0,12.0,10.0,3.0,1.0
2025-03-17,25.0,24.0,25.0,12.0,7.0,2.0,1.0
2025-03-10,25.0,23.0,25.0,14.0,8.0,2.0,1.0
2025-03-02,26.0,24.0,24.0,13.0,7.0,2.0,1.0
2025-02-24,23.0,25.0,24.0,16.0,8.0,2.0,0.0
2025-02-18,25.0,23.0,26.0,12.0,7.0,2.0,1.0
2025-02-10,25.0,23.0,25.0,12.0,8.0,2.0,1.0
2025-02-03,24.0,26.0,24.0,13.0,6.0,3.0,1.0
2025-01-27,25.0,24.0,25.0,13.0,7.0,2.0,1.0
2025-01-20,24.0,25.0,25.0,12.0,7.0,3.0,1.0
2025-01-13,24.0,25.0,24.0,12.0,8.0,3.0,1.0
2025-01-08,26.0,26.0,22.0,12.0,7.0,3.0,1.0
2024-12-16,25.0,26.0,21.0,14.0,8.0,2.0,1.0
2024-12-10,26.0,26.0,19.0,13.0,8.0,3.0,1.0
2024-12-02,26.0,28.0,21.0,13.0,7.0,3.0,1.0
2024-11-27,27.0,30.0,18.0,12.0,8.0,2.0,1.0
2024-11-21,25.0,28.0,19.0,13.0,8.0,3.0,1.0
2024-11-11,27.0,29.0,19.0,11.0,8.0,2.0,1.0
2024-11-01,28.0,26.0,18.0,14.0,8.0,3.0,1.0
2024-10-10,27.0,27.0,21.0,13.0,7.0,2.0,1.0
2024-10-07,29.0,28.0,19.0,11.0,7.0,2.0,0.0
2024-09-25,30.0,26.0,18.0,13.0,8.0,3.0,1.0
2024-09-12,29.0,25.0,18.0,14.0,8.0,3.0,1.0
