Date,Lab,Con,Reform,Lib Dem,Green,SNP,PC
2025-06-13,24.0,18.0,30.0,12.0,9.0,3.0,1.0
2025-05-30,25.0,17.0,31.0,11.0,10.0,2.0,1.0
2025-05-16,25.0,18.0,29.0,13.0,10.0,2.0,1.0
2025-05-02,26.0,19.0,27.0,13.0,9.0,3.0,1.0
2025-04-25,26.0,21.0,26.0,11.0,9.0,3.0,1.0
2025-04-11,27.0,22.0,26.0,12.0,7.0,3.0,1.0
2025-03-28,26.0,22.0,26.0,12.0,8.0,3.0,1.0
2025-03-21,26.0,21.0,26.0,13.0,8.0,3.0,1.0
2025-03-07,28.0,20.0,27.0,12.0,8.0,3.0,1.0
2025-02-21,28.0,21.0,26.0,12.0,8.0,3.0,
2025-02-07,27.0,22.0,26.0,11.0,8.0,3.0,1.0
2025-01-24,28.0,21.0,27.0,11.0,8.0,3.0,1.0
2025-01-10,29.0,23.0,24.0,10.0,9.0,2.0,1.0
2024-12-20,29.0,23.0,22.0,11.0,10.0,3.0,1.0
2024-11-29,29.0,25.0,21.0,10.0,9.0,3.0,1.0
2024-11-13,30.0,24.0,21.0,12.0,8.0,3.0,1.0
2024-10-31,31.0,24.0,20.0,10.0,10.0,2.0,0.0
2024-10-18,31.0,24.0,20.0,12.0,8.0,2.0,1.0
2024-10-04,31.0,24.0,20.0,11.0,8.0,3.0,
