Date,Con,Lab,Lib Dem,SNP,Green,Reform
2024-06-28,21.0,38.0,11.0,2.0,6.0,14.0
2024-06-24,21.0,42.0,10.0,3.0,5.0,14.0
2024-06-21,19.0,42.0,9.0,3.0,5.0,16.0
2024-06-18,23.0,44.0,12.0,3.0,4.0,13.0
2024-06-16,21.0,40.0,11.0,3.0,4.0,14.0
2024-06-14,21.0,46.0,11.0,2.0,5.0,13.0
2024-06-09,25.0,44.0,9.0,3.0,4.0,10.0
2024-06-07,26.0,46.0,10.0,2.0,3.0,11.0
2024-06-02,28.0,42.0,9.0,3.0,4.0,9.0
2024-05-26,27.0,44.0,10.0,3.0,4.0,8.0
2024-05-19,26.0,43.0,10.0,3.0,5.0,9.0
2024-05-12,25.0,43.0,12.0,3.0,4.0,10.0
2024-05-05,27.0,43.0,11.0,3.0,4.0,9.0
