Date,Lab,Con,Reform,Lib Dem,Green,SNP,PC
2025-04-24,25.0,21.0,25.0,14.0,8.0,2.0,
2025-04-10,24.0,22.0,24.0,15.0,8.0,2.0,
2025-04-03,24.0,23.0,24.0,13.0,8.0,3.0,
2025-03-27,25.0,23.0,24.0,14.0,8.0,2.0,
2025-03-20,27.0,23.0,23.0,14.0,7.0,2.0,
2025-03-13,27.0,22.0,24.0,14.0,7.0,2.0,
2025-03-06,28.0,21.0,25.0,13.0,7.0,2.0,
2025-02-27,26.0,22.0,25.0,13.0,8.0,2.0,
2025-02-20,25.0,22.0,26.0,12.0,7.0,3.0,
2025-02-13,26.0,22.0,25.0,12.0,8.0,2.0,
2025-02-06,25.0,23.0,25.0,13.0,7.0,2.0,
2025-01-30,26.0,23.0,24.0,12.0,7.0,3.0,
2025-01-23,25.0,24.0,24.0,13.0,7.0,2.0,
2025-01-16,26.0,25.0,23.0,12.0,7.0,2.0,
2024-12-19,27.0,26.0,21.0,12.0,7.0,2.0,
2024-12-12,27.0,25.0,22.0,11.0,7.0,2.0,
2024-12-06,27.0,25.0,21.0,12.0,7.0,2.0,
2024-11-28,28.0,27.0,18.0,13.0,6.0,2.0,
2024-11-21,29.0,27.0,17.0,12.0,7.0,2.0,
2024-11-14,28.0,27.0,17.0,13.0,7.0,2.0,
2024-11-07,29.0,25.0,18.0,13.0,7.0,2.0,
2024-10-31,30.0,24.0,18.0,14.0,7.0,2.0,
2024-10-24,29.0,24.0,19.0,13.0,7.0,2.0,
2024-10-17,28.0,25.0,19.0,13.0,7.0,2.0,
2024-10-10,29.0,24.0,19.0,12.0,7.0,2.0,
2024-10-03,31.0,23.0,18.0,13.0,7.0,2.0,
2024-09-26,32.0,22.0,18.0,13.0,7.0,2.0,
2024-09-19,33.0,21.0,18.0,13.0,7.0,2.0,
