Date,Lab,Con,Reform,Lib Dem,Green,SNP,PC
2025-05-06,22.0,17.0,29.0,16.0,10.0,3.0,1.0
2025-04-28,23.0,20.0,26.0,15.0,9.0,3.0,1.0
2025-04-22,23.0,20.0,25.0,16.0,10.0,3.0,1.0
2025-04-14,24.0,21.0,23.0,14.0,11.0,3.0,1.0
2025-04-07,24.0,22.0,23.0,17.0,9.0,3.0,1.0
2025-03-31,24.0,21.0,23.0,14.0,11.0,3.0,1.0
2025-03-24,23.0,22.0,22.0,16.0,10.0,3.0,1.0
2025-03-17,26.0,22.0,24.0,14.0,9.0,3.0,1.0
2025-03-10,24.0,22.0,23.0,15.0,9.0,3.0,1.0
2025-03-03,26.0,21.0,25.0,14.0,9.0,3.0,1.0
2025-02-24,24.0,22.0,25.0,16.0,8.0,3.0,1.0
2025-02-17,25.0,21.0,27.0,14.0,9.0,3.0,1.0
2025-02-10,25.0,21.0,26.0,14.0,9.0,3.0,1.0
2025-02-03,24.0,21.0,25.0,14.0,9.0,3.0,1.0
2025-01-27,27.0,22.0,23.0,14.0,9.0,3.0,1.0
2025-01-20,26.0,22.0,24.0,14.0,9.0,3.0,1.0
2025-01-13,26.0,22.0,25.0,14.0,8.0,3.0,1.0
