Date,Con,Lab,Lib Dem,SNP,Green,Reform
2019-12-12,44.7,33.0,11.8,4.0,2.8,2.1
2024-06-29,21.0,42.0,11.0,3.0,4.0,16.0
2024-06-28,20.0,42.0,10.0,3.0,7.0,16.0
2024-06-28,21.0,38.0,11.0,2.0,6.0,14.0
2024-06-28,20.0,40.0,13.0,3.0,6.0,17.0
2024-06-28,24.0,39.0,13.0,3.0,5.0,13.0
2024-06-27,18.0,38.0,11.0,2.0,7.0,21.0
2024-06-27,19.0,41.0,12.0,3.0,5.0,17.0
2024-06-27,19.0,42.0,11.0,3.0,5.0,18.0
2024-06-27,20.0,37.0,13.0,3.0,7.0,17.0
2024-06-27,25.0,42.0,11.0,2.0,5.0,11.0
2024-06-26,20.0,42.0,12.0,3.0,6.0,16.0
2024-06-26,23.0,40.0,11.0,3.0,5.0,14.0
2024-06-26,23.0,39.0,12.0,4.0,6.0,15.0
2024-06-26,20.0,42.0,11.0,3.0,4.0,17.0
2024-06-25,18.0,36.0,15.0,3.0,8.0,17.0
2024-06-25,18.0,41.0,12.0,2.0,5.0,14.0
2024-06-25,22.0,38.0,13.0,3.0,5.0,17.0
2024-06-24,25.0,41.0,11.0,3.0,5.0,15.0
2024-06-24,19.0,43.0,13.0,2.0,5.0,15.0
2024-06-24,18.0,42.0,12.0,3.0,6.0,19.0
2024-06-24,21.0,42.0,10.0,3.0,5.0,14.0
2024-06-24,19.0,42.0,11.0,5.0,7.0,15.0
2024-06-24,21.0,38.0,12.0,3.0,8.0,16.0
2024-06-24,19.0,40.0,10.0,3.0,9.0,17.0
2024-06-24,15.0,40.0,14.0,3.0,7.0,17.0
2024-06-24,22.0,42.0,11.0,3.0,6.0,14.0
2024-06-23,25.0,41.0,10.0,2.0,5.0,15.0
2024-06-21,22.0,43.0,8.0,3.0,7.0,13.0
2024-06-21,19.0,42.0,9.0,3.0,5.0,16.0
2024-06-21,20.0,40.0,12.0,3.0,9.0,16.0
2024-06-20,19.0,37.0,13.0,3.0,6.0,18.0
2024-06-20,19.0,39.0,12.0,3.0,6.0,20.0
2024-06-20,19.0,42.0,12.0,2.0,5.0,17.0
2024-06-20,18.0,42.0,11.0,3.0,5.0,19.0
2024-06-20,23.0,41.0,11.0,3.0,5.0,16.0
2024-06-19,20.0,40.0,12.0,3.0,5.0,19.0
2024-06-19,25.0,39.0,11.0,3.0,5.0,14.0
2024-06-18,20.0,36.0,14.0,3.0,7.0,18.0
2024-06-18,20.0,41.0,12.0,2.0,6.0,15.0
2024-06-18,22.0,39.0,12.0,3.0,7.0,15.0
2024-06-18,23.0,44.0,12.0,3.0,4.0,13.0
2024-06-17,21.0,43.0,10.0,2.0,5.0,16.0
2024-06-17,19.0,46.0,10.0,2.0,5.0,16.0
2024-06-17,21.0,39.0,13.0,3.0,7.0,13.0
2024-06-17,28.0,44.0,11.0,3.0,5.0,8.0
2024-06-16,21.0,40.0,11.0,3.0,4.0,14.0
2024-06-16,25.0,41.0,11.0,2.0,5.0,14.0
2024-06-16,23.0,40.0,9.0,3.0,5.0,18.0
2024-06-14,23.0,40.0,12.0,2.0,7.0,14.0
2024-06-14,21.0,46.0,11.0,2.0,5.0,13.0
2024-06-13,19.0,43.0,11.0,2.0,6.0,16.0
