Date,Approve,Disapprove
12/05/1997,65,5
23/06/1997,72,7
28/07/1997,70,11
25/08/1997,65,19
29/09/1997,75,13
27/10/1997,72,15
24/11/1997,70,20
15/12/1997,61,27
26/01/1998,60,29
23/02/1998,60,31
23/03/1998,62,28
27/04/1998,68,22
24/05/1998,67,23
30/06/1998,62,28
21/07/1998,62,28
24/08/1998,65,26
21/09/1998,61,30
26/10/1998,62,29
23/11/1998,61,29
14/12/1998,60,29
25/01/1999,59,31
22/02/1999,58,34
22/03/1999,61,29
26/04/1999,63,28
24/05/1999,58,34
21/06/1999,57,35
26/07/1999,55,33
23/08/1999,49,39
27/09/1999,58,34
25/10/1999,53,37
22/11/1999,54,36
14/12/1999,57,35
25/01/2000,53,38
22/02/2000,49,42
28/03/2000,47,43
18/04/2000,52,41
23/05/2000,47,42
27/06/2000,39,52
24/07/2000,42,50
21/08/2000,45,45
26/09/2000,32,63
23/10/2000,37,55
28/11/2000,42,49
12/12/2000,43,50
22/01/2001,47,44
20/02/2001,48,43
27/03/2001,47,46
24/04/2001,44,46
26/06/2001,55,37
23/07/2001,51,41
28/08/2001,49,43
25/09/2001,67,26
22/10/2001,65,28
27/11/2001,64,28
28/01/2002,51,39
26/02/2002,46,46
26/03/2002,42,50
22/04/2002,46,46
28/05/2002,39,50
24/06/2002,46,47
22/07/2002,42,50
24/09/2002,42,49
21/10/2002,41,49
19/11/2002,40,51
17/12/2002,38,54
27/01/2003,33,58
25/02/2003,31,61
24/03/2003,43,48
28/04/2003,47,45
28/05/2003,38,54
24/06/2003,31,61
22/07/2003,32,60
02/09/2003,30,63
16/09/2003,29,64
28/10/2003,31,60
25/11/2003,32,57
17/12/2003,36,55
20/01/2004,32,59
16/02/2004,31,60
16/03/2004,32,60
19/04/2004,31,61
01/06/2004,29,61
29/06/2004,30,61
27/07/2004,30,63
16/08/2004,29,61
14/09/2004,32,61
27/10/2004,30,61
08/11/2004,32,60
06/12/2004,33,58
24/01/2005,33,57
21/02/2005,35,57
22/03/2005,34,59
23/05/2005,39,55
20/06/2005,39,52
18/07/2005,44,47
15/08/2005,39,51
26/09/2005,31,60
25/10/2005,36,55
22/11/2005,37,55
23/01/2006,36,57
20/02/2006,31,60
21/03/2006,31,62
02/05/2006,29,64
30/05/2006,26,67
26/06/2006,32,60
24/07/2006,23,67
06/09/2006,26,66
16/10/2006,32,60
14/11/2006,27,65
12/12/2006,30,64
29/01/2007,25,68
25/04/2007,28,66
22/05/2007,35,57
20/06/2007,33,60
