Date,Approve,Disapprove
17/07/2007,36,20
29/08/2007,43,23
26/09/2007,44,26
23/10/2007,37,38
07/12/2007,31,54
23/01/2008,32,48
26/02/2008,31,55
18/03/2008,27,58
22/04/2008,23,61
20/05/2008,23,67
15/06/2008,22,70
20/07/2008,21,72
17/08/2008,24,71
14/09/2008,24,69
19/10/2008,35,59
16/11/2008,41,50
14/12/2008,38,54
18/01/2009,33,59
15/02/2009,26,64
15/03/2009,34,59
19/04/2009,32,60
31/05/2009,26,69
21/06/2009,27,66
19/07/2009,26,68
23/08/2009,28,65
27/09/2009,29,65
18/10/2009,32,62
15/11/2009,34,59
13/12/2009,28,63
28/01/2010,33,59
22/02/2010,36,57
22/03/2010,34,60
19/04/2010,35,59
