Date,Net Approval
2016-07-11,-40.42553191489361
2016-06-14,-24.731182795698928
2016-05-16,-32.60869565217391
2016-04-18,-20.430107526881727
2016-03-22,-26.88172043010752
2016-02-16,-16.12903225806452
2016-01-25,-9.677419354838712
2015-12-14,-14.583333333333336
2015-11-17,-15.789473684210535
2015-10-19,-9.677419354838712
2015-09-22,-10.63829787234043
2015-07-20,-7.692307692307693
2015-06-16,7.692307692307693
2015-04-29,-2.1276595744680833
2015-04-18,0.0
2015-04-15,-15.217391304347828
2015-04-11,-3.225806451612897
2015-04-04,1.0752688172043037
2015-03-28,-2.1276595744680833
2015-03-20,-5.2631578947368425
2015-03-13,-6.38297872340425
2015-03-11,-17.391304347826093
2015-03-06,-6.38297872340425
2015-02-27,-6.38297872340425
2015-02-20,-8.51063829787234
2015-02-13,-9.677419354838712
2015-02-12,-15.217391304347828
2015-02-06,-9.677419354838712
2015-01-30,-7.526881720430104
2015-01-23,-7.526881720430104
2015-01-16,-14.893617021276604
2015-01-13,-11.827956989247305
2015-01-09,-13.043478260869563
2014-12-19,-13.97849462365592
2014-12-15,-22.58064516129032
2014-12-12,-11.827956989247305
2014-12-05,-13.97849462365592
2014-11-28,-13.97849462365592
2014-11-21,-11.827956989247305
2014-11-14,-16.12903225806452
2014-11-10,-16.48351648351649
2014-11-07,-10.869565217391312
2014-10-31,-14.893617021276604
2014-10-24,-9.473684210526322
2014-10-17,-9.677419354838712
2014-10-14,-18.27956989247312
2014-10-10,-10.63829787234043
2014-10-03,-4.255319148936174
2014-09-26,-12.7659574468085
2014-09-19,-17.02127659574468
2014-09-12,-17.391304347826093
2014-09-09,-16.12903225806452
2014-09-05,-9.677419354838712
2014-08-29,-13.043478260869563
2014-08-22,-11.827956989247305
2014-08-15,-14.285714285714285
2014-08-11,-17.391304347826093
2014-08-08,-10.869565217391312
2014-08-01,-10.869565217391312
2014-07-25,-12.087912087912088
2014-07-18,-18.681318681318686
2014-07-15,-20.879120879120876
2014-07-11,-12.087912087912088
2014-07-04,-11.827956989247305
2014-06-27,-19.565217391304344
2014-06-20,-13.97849462365592
2014-06-17,-19.565217391304344
2014-06-13,-7.526881720430104
2014-06-06,-16.12903225806452
2014-05-30,-10.63829787234043
2014-05-23,-9.677419354838712
2014-05-16,-7.526881720430104
2014-05-12,-14.285714285714285
2014-05-09,-13.043478260869563
2014-05-02,-13.043478260869563
2014-04-25,-18.27956989247312
2014-04-11,-17.391304347826093
2014-04-07,-19.14893617021277
2014-04-04,-10.869565217391312
2014-03-28,-9.677419354838712
2014-03-21,-9.677419354838712
2014-03-14,-15.217391304347828
2014-03-12,-20.430107526881727
2014-03-07,-10.63829787234043
2014-02-28,-12.7659574468085
2014-02-21,-17.02127659574468
2014-02-14,-11.827956989247305
2014-02-10,-11.827956989247305
2014-02-03,-19.565217391304344
2014-01-31,-12.7659574468085
2014-01-24,-12.7659574468085
2014-01-17,-16.12903225806452
2014-01-14,-15.217391304347828
2014-01-10,-21.276595744680854
2013-12-13,-20.879120879120876
2013-12-09,-14.285714285714285
2013-12-06,-16.12903225806452
2013-11-29,-19.565217391304344
2013-11-22,-13.97849462365592
2013-11-15,-20.430107526881727
2013-11-11,-23.076923076923073
2013-11-08,-19.14893617021277
2013-11-01,-19.14893617021277
2013-10-25,-23.40425531914893
2013-10-18,-16.48351648351649
2013-10-15,-15.217391304347828
2013-10-11,-11.827956989247305
2013-10-04,-12.7659574468085
2013-09-27,-20.0
2013-09-20,-14.893617021276604
2013-09-13,-13.043478260869563
2013-09-09,-21.739130434782616
2013-09-06,-16.12903225806452
2013-08-31,-20.879120879120876
2013-08-23,-19.14893617021277
2013-08-16,-16.12903225806452
2013-08-12,-18.27956989247312
2013-08-09,-16.12903225806452
2013-08-02,-17.894736842105253
2013-07-26,-17.391304347826093
2013-07-19,-19.565217391304344
2013-07-15,-17.391304347826093
2013-07-12,-27.659574468085104
2013-07-05,-21.739130434782616
2013-06-28,-18.27956989247312
2013-06-21,-19.565217391304344
2013-06-14,-26.88172043010752
2013-06-10,-26.08695652173914
2013-06-07,-28.421052631578952
2013-05-31,-27.083333333333336
2013-05-24,-28.421052631578952
2013-05-17,-31.914893617021278
2013-05-13,-22.58064516129032
2013-05-10,-24.731182795698928
2013-05-03,-24.731182795698928
2013-04-26,-22.58064516129032
2013-04-19,-17.02127659574468
2013-04-15,-30.434782608695656
2013-04-12,-25.53191489361702
2013-04-05,-24.210526315789473
2013-03-22,-24.210526315789473
2013-03-15,-31.914893617021278
2013-03-11,-32.60869565217391
2013-03-08,-26.08695652173914
2013-03-01,-24.731182795698928
2013-02-22,-15.789473684210535
2013-02-15,-19.14893617021277
2013-02-11,-26.08695652173914
2013-02-08,-15.789473684210535
2013-02-01,-15.789473684210535
2013-01-25,-15.789473684210535
2013-01-18,-14.893617021276604
2013-01-14,-26.88172043010752
2013-01-11,-19.14893617021277
2013-01-04,-20.430107526881727
2012-12-21,-16.666666666666664
2012-12-14,-17.894736842105253
2012-12-10,-20.430107526881727
2012-12-07,-19.587628865979383
2012-12-01,-22.10526315789474
2012-11-23,-19.14893617021277
2012-11-16,-17.894736842105253
2012-11-13,-14.893617021276604
2012-11-09,-17.02127659574468
2012-11-02,-20.0
2012-10-26,-17.02127659574468
2012-10-24,-30.526315789473692
2012-10-19,-20.430107526881727
2012-10-12,-21.276595744680854
2012-10-05,-25.53191489361702
2012-09-28,-26.88172043010752
2012-09-21,-22.10526315789474
2012-09-17,-26.08695652173914
2012-09-14,-27.659574468085104
2012-09-07,-29.787234042553195
2012-08-31,-27.659574468085104
2012-08-24,-27.659574468085104
2012-08-17,-26.88172043010752
2012-08-13,-17.02127659574468
2012-08-10,-22.58064516129032
2012-08-03,-22.10526315789474
2012-07-27,-26.315789473684212
2012-07-20,-24.210526315789473
2012-07-16,-29.032258064516128
2012-07-13,-26.315789473684212
2012-07-06,-28.421052631578952
2012-06-29,-25.53191489361702
2012-06-22,-19.14893617021277
2012-06-15,-26.315789473684212
2012-06-11,-26.08695652173914
2012-06-08,-24.210526315789473
2012-06-01,-27.659574468085104
2012-05-25,-27.659574468085104
2012-05-18,-31.25
2012-05-14,-30.434782608695656
2012-05-11,-31.18279569892473
2012-05-04,-33.33333333333333
2012-04-27,-32.63157894736842
2012-04-23,-21.276595744680854
2012-04-20,-24.210526315789473
2012-04-13,-27.659574468085104
2012-03-31,-28.421052631578952
2012-03-23,-11.578947368421048
2012-03-29,-11.827956989247305
2012-03-16,-5.376344086021504
2012-03-09,-9.677419354838712
2012-03-02,-6.38297872340425
2012-02-27,-12.087912087912088
2012-02-24,-10.869565217391312
2012-02-17,-10.63829787234043
2012-02-10,-4.255319148936174
2012-02-03,-6.38297872340425
2012-01-27,-1.0752688172043037
2012-01-23,-1.0752688172043037
2012-01-20,-3.225806451612897
2012-01-13,-10.63829787234043
2012-01-06,-7.368421052631575
2011-12-16,-6.38297872340425
2011-12-12,-7.526881720430104
2011-12-09,-10.63829787234043
2011-12-02,-19.14893617021277
2011-11-25,-14.893617021276604
2011-11-21,-15.217391304347828
2011-11-18,-10.63829787234043
2011-11-11,-13.043478260869563
2011-11-04,-11.827956989247305
2011-10-28,-11.827956989247305
2011-10-24,-14.893617021276604
2011-10-21,-7.368421052631575
2011-10-14,-8.51063829787234
2011-10-07,-10.63829787234043
2011-09-30,-8.51063829787234
2011-09-23,-8.51063829787234
2011-09-16,-8.51063829787234
2011-09-12,-14.285714285714285
2011-09-09,-10.63829787234043
2011-09-02,-9.677419354838712
2011-08-26,-10.63829787234043
2011-08-22,-13.333333333333329
2011-08-19,-11.578947368421048
2011-08-12,-12.7659574468085
2011-08-05,-14.893617021276604
2011-07-29,-14.893617021276604
2011-07-22,-17.02127659574468
2011-07-18,-16.48351648351649
2011-07-15,-12.7659574468085
2011-07-08,-13.97849462365592
2011-07-01,-10.63829787234043
2011-06-24,-10.63829787234043
2011-06-19,-2.173913043478265
2011-06-17,-4.347826086956516
2011-06-10,-6.38297872340425
2011-06-03,-3.225806451612897
2011-05-27,2.1276595744680833
2011-05-24,-3.2967032967033063
2011-05-20,-4.166666666666664
2011-05-13,-1.05263157894737
2011-05-06,-3.1578947368421098
2011-04-29,-4.255319148936174
2011-04-17,-3.2967032967033063
2011-04-15,-8.51063829787234
2011-04-08,-9.473684210526322
2011-04-01,-5.376344086021504
2011-03-25,0.0
2011-03-18,-7.526881720430104
2011-03-13,-8.51063829787234
2011-03-11,-13.97849462365592
2011-03-04,-11.827956989247305
2011-02-25,-6.38297872340425
2011-02-20,-14.285714285714285
2011-02-18,-8.51063829787234
2011-02-11,-8.51063829787234
2011-02-04,-3.1578947368421098
2011-01-28,-3.225806451612897
2011-01-24,-15.55555555555555
2011-01-21,-6.5217391304347885
2011-01-14,-5.494505494505503
2011-01-07,0.0
2010-12-17,-2.173913043478265
2010-12-12,4.347826086956516
2010-12-10,1.0752688172043037
2010-12-03,5.376344086021504
2010-11-26,2.173913043478265
2010-11-19,13.333333333333329
2010-11-14,1.098901098901095
2010-11-12,8.69565217391304
2010-11-05,6.5217391304347885
2010-10-29,16.12903225806452
2010-10-22,8.888888888888886
2010-10-17,16.853932584269657
2010-10-15,11.827956989247305
2010-10-08,22.58064516129032
2010-10-01,17.777777777777786
2010-09-27,17.777777777777786
2010-09-24,21.348314606741575
2010-09-17,16.853932584269657
2010-09-12,26.666666666666664
2010-09-10,26.666666666666664
2010-09-03,20.0
2010-08-27,29.670329670329664
2010-08-20,19.101123595505626
2010-08-13,18.681318681318686
2010-08-06,22.22222222222222
2010-07-30,24.444444444444443
2010-07-25,26.436781609195407
2010-07-23,28.089887640449433
2010-07-16,30.337078651685395
2010-07-09,35.63218390804597
2010-07-02,31.81818181818182
2010-06-25,38.63636363636364
2010-06-20,37.349397590361434
2010-06-18,52.38095238095238
2010-06-11,51.898734177215196
2010-06-04,59.493670886075954
2010-05-28,53.846153846153854
2010-05-21,58.33333333333332
2010-05-14,60.0
