Date,Approve,Disapprove,Neither
2020-04-03,18.0,54.0,28.0
2020-03-27,19.0,54.0,27.0
2020-03-16,19.0,68.0,13.0
2020-03-13,19.0,57.0,24.0
2020-02-14,21.0,59.0,20.0
2020-01-17,19.0,59.0,22.0
2019-12-14,21.0,71.0,8.0
2019-12-13,21.0,71.0,8.0
2019-12-10,24.0,54.0,22.0
2019-12-05,28.0,65.0,7.0
2019-12-05,22.0,69.0,9.0
2019-12-04,24.0,68.0,6.0
2019-11-28,27.0,66.0,7.0
2019-11-29,24.0,55.0,21.0
2019-11-27,22.0,58.0,20.0
2019-11-21,30.0,64.0,6.0
2019-11-21,23.0,65.0,12.0
2019-11-14,25.0,68.0,7.0
2019-11-13,19.0,61.0,20.0
2019-11-11,24.0,66.0,10.0
2019-11-08,20.0,59.0,21.0
2019-11-08,22.0,70.0,8.0
2019-11-02,25.0,68.0,7.0
2019-11-01,19.0,59.0,22.0
2019-10-31,20.0,61.0,19.0
2019-10-25,15.0,75.0,10.0
2019-10-23,20.0,60.0,20.0
2019-10-15,20.0,56.0,24.0
2019-10-11,20.0,58.0,22.0
2019-10-04,20.0,58.0,22.0
2019-09-27,16.0,71.0,13.0
2019-09-27,21.0,58.0,21.0
2019-09-17,21.0,70.0,9.0
2019-09-16,16.0,76.0,8.0
2019-08-31,23.0,68.0,9.0
2019-08-29,13.0,72.0,15.0
2019-08-23,18.0,60.0,21.0
2019-08-09,20.0,60.0,20.0
2019-07-30,19.0,69.0,12.0
2019-07-25,23.0,67.0,10.0
2019-07-26,19.0,59.0,22.0
2019-07-05,18.0,64.0,19.0
2019-06-20,18.0,63.0,19.0
2019-05-30,18.0,59.0,23.0
2019-05-20,16.0,64.0,20.0
2019-05-15,19.0,69.0,12.0
2019-05-10,19.0,61.0,20.0
2019-04-12,22.0,55.0,23.0
2019-03-29,18.0,61.0,21.0
2019-03-24,18.0,71.0,15.0
2019-03-22,21.0,60.0,19.0
2019-03-05,20.0,70.0,10.0
2019-03-15,20.0,58.0,22.0
2019-03-01,23.0,60.0,17.0
2019-02-23,26.0,64.0,10.0
2019-02-22,22.0,58.0,20.0
2019-02-15,25.0,52.0,23.0
2019-02-11,30.0,58.0,12.0
2019-02-08,23.0,59.0,12.0
2019-02-05,17.0,72.0,11.0
2019-02-01,22.0,54.0,24.0
2019-01-30,22.0,67.0,11.0
2019-01-18,24.0,54.0,21.0
2018-12-19,19.0,62.0,18.0
2018-12-14,38.0,54.0,8.0
2018-12-14,26.0,50.0,25.0
2018-12-05,29.0,59.0,14.0
2018-11-14,26.0,50.0,24.0
2018-10-22,28.0,59.0,14.0
2018-10-11,28.0,48.0,24.0
2018-10-05,29.0,49.0,23.0
2018-10-01,30.0,58.0,13.0
2018-09-20,27.0,48.0,25.0
2018-09-11,27.0,49.0,24.0
2018-09-01,32.0,46.0,21.0
2018-08-16,27.0,62.0,12.0
2018-08-14,25.0,49.0,36.0
2018-07-20,27.0,59.0,14.0
2018-07-14,35.0,52.0,12.0
2018-07-13,31.0,43.0,26.0
2018-07-11,28.0,58.0,14.0
2018-06-27,31.0,57.0,12.0
2018-06-07,31.0,44.0,25.0
2018-05-22,32.0,59.0,12.0
2018-05-16,29.0,47.0,24.0
2018-05-02,31.0,57.0,13.0
2018-04-24,32.0,59.0,10.0
2018-04-17,32.0,56.0,13.0
2018-04-12,29.0,48.0,23.0
2018-04-06,31.0,54.0,14.0
2018-04-05,31.0,56.0,14.0
2018-03-19,34.0,53.0,13.0
2018-03-15,32.0,42.0,27.0
2018-03-07,37.0,52.0,10.0
2018-02-09,34.0,43.0,24.0
2018-02-08,33.0,40.0,21.0
2018-01-23,38.0,49.0,14.0
2018-01-12,31.0,41.0,28.0
2018-01-12,35.0,41.0,24.0
2017-12-20,45.0,37.0,18.0
2017-12-14,40.0,42.0,18.0
2017-12-14,35.0,39.0,26.0
2017-12-08,35.0,44.0,22.0
2017-12-01,41.0,38.0,20.0
2017-11-28,42.0,49.0,9.0
2017-11-17,36.0,42.0,22.0
2017-11-16,36.0,39.0,25.0
2017-11-10,38.0,48.0,0.0
2017-11-08,44.0,39.0,21.0
2017-11-01,42.0,45.0,14.0
2017-10-23,37.0,43.0,20.0
2017-10-20,35.0,44.0,21.0
2017-10-06,35.0,40.0,25.0
2017-09-29,40.0,39.0,21.0
2017-09-22,32.0,42.0,26.0
2017-09-18,43.0,46.0,10.0
2017-09-15,34.0,42.0,23.0
2017-09-15,33.0,40.0,27.0
2017-09-05,36.0,50.0,13.0
2017-08-18,35.0,40.0,25.0
2017-08-16,38.0,51.0,11.0
2017-08-11,40.0,38.0,22.0
2017-07-18,44.0,45.0,11.0
2017-07-14,41.0,39.0,20.0
2017-07-14,41.0,37.0,22.0
2017-07-03,44.0,35.0,21.0
2017-06-29,42.0,38.0,20.0
2017-06-21,45.0,28.0,27.0
2017-06-12,46.0,46.0,8.0
