Date,Approve,Disapprove
28/12/1990,37,22
21/01/1991,61,15
25/02/1991,63,19
25/03/1991,58,27
22/04/1991,59,26
28/05/1991,49,36
24/06/1991,50,34
22/07/1991,53,33
27/08/1991,57,30
24/09/1991,57,32
21/10/1991,54,35
25/11/1991,52,37
27/12/1991,51,39
21/01/1992,51,38
25/02/1992,48,44
24/03/1992,48,44
28/04/1992,55,35
25/05/1992,56,35
23/06/1992,51,39
28/07/1992,50,42
01/09/1992,47,46
29/09/1992,33,60
27/10/1992,21,72
01/12/1992,25,69
15/12/1992,28,64
25/01/1993,31,61
22/02/1993,28,64
29/03/1993,26,67
26/04/1993,27,64
24/05/1993,21,71
28/06/1993,19,73
26/07/1993,19,73
23/08/1993,21,70
20/09/1993,20,70
25/10/1993,23,69
22/11/1993,21,71
13/12/1993,24,68
24/01/1994,21,71
28/02/1994,22,68
28/03/1994,20,72
25/04/1994,19,74
23/05/1994,22,71
20/06/1994,20,74
18/07/1994,20,74
22/08/1994,17,76
26/09/1994,24,68
24/10/1994,27,66
21/11/1994,23,70
19/12/1994,18,74
23/01/1995,20,73
20/02/1995,20,71
20/03/1995,22,70
24/04/1995,22,69
22/05/1995,21,70
26/06/1995,28,64
24/07/1995,25,66
28/08/1995,26,65
25/09/1995,28,62
23/10/1995,28,64
20/11/1995,25,66
04/12/1995,28,64
22/01/1996,25,64
26/02/1996,26,66
25/03/1996,26,65
22/04/1996,29,62
26/05/1996,26,66
24/06/1996,29,61
28/07/1996,28,63
25/08/1996,28,62
23/09/1996,29,61
28/10/1996,30,60
11/11/1996,36,55
09/12/1996,30,62
28/01/1997,31,61
24/02/1997,34,58
24/03/1997,32,59
