Date,Approve,Disapprove,Neither
2024-04-05,31.0,38.0,31.0
2024-03-31,38.0,28.0,34.0
2024-03-24,36.0,30.0,34.0
2024-03-25,44.0,44.0,12.0
2024-03-20,32.0,53.0,14.0
2024-03-17,36.0,28.0,36.0
2024-03-11,40.0,49.0,11.0
2024-03-10,34.0,26.0,40.0
2024-03-04,29.0,55.0,16.0
2024-03-03,36.0,34.0,30.0
2024-02-25,35.0,33.0,32.0
2024-02-22,36.0,38.0,26.0
2024-02-18,39.0,30.0,31.0
2024-02-11,39.0,30.0,31.0
2024-02-04,38.0,31.0,31.0
2024-01-28,40.0,31.0,29.0
2024-01-21,38.0,27.0,35.0
2024-01-14,38.0,27.0,35.0
2024-01-07,44.0,26.0,30.0
2023-12-17,37.0,33.0,30.0
2023-12-10,36.0,30.0,34.0
2023-12-03,39.0,32.0,29.0
2023-11-26,39.0,31.0,30.0
2023-11-19,40.0,29.0,31.0
2023-11-12,38.0,29.0,33.0
2023-11-05,39.0,29.0,32.0
2023-10-29,39.0,29.0,32.0
2023-10-22,39.0,28.0,33.0
2023-10-15,34.0,28.0,38.0
2023-10-08,38.0,28.0,34.0
2023-10-01,37.0,30.0,33.0
2023-09-24,40.0,31.0,29.0
2023-09-19,29.0,51.0,0.0
2023-09-17,36.0,28.0,36.0
2023-09-03,40.0,25.0,35.0
2023-08-27,41.0,29.0,30.0
2023-08-20,39.0,27.0,34.0
2023-08-13,40.0,27.0,33.0
2023-08-06,37.0,31.0,32.0
2023-07-30,37.0,30.0,33.0
2023-07-23,38.0,30.0,32.0
2023-07-16,37.0,29.0,34.0
2023-07-14,35.0,50.0,14.0
2023-07-09,36.0,27.0,37.0
2023-07-02,33.0,26.0,41.0
2023-06-25,37.0,28.0,35.0
2023-06-18,38.0,26.0,36.0
2023-06-11,40.0,27.0,33.0
2023-06-04,40.0,31.0,29.0
2023-05-28,37.0,29.0,34.0
2023-05-21,36.0,32.0,32.0
2023-05-14,33.0,31.0,36.0
2023-05-09,48.0,37.0,15.0
2023-05-07,38.0,28.0,34.0
2023-04-30,39.0,29.0,32.0
2023-04-23,34.0,29.0,37.0
2023-04-16,35.0,29.0,36.0
2023-04-09,38.0,30.0,32.0
2023-04-02,37.0,27.0,36.0
2023-03-30,22.0,28.0,51.0
2023-03-26,33.0,30.0,37.0
2023-03-19,38.0,27.0,35.0
2023-03-12,36.0,27.0,37.0
2023-03-05,37.0,28.0,35.0
2023-02-26,37.0,24.0,39.0
2023-02-18,38.0,26.0,36.0
2023-02-12,37.0,28.0,35.0
2023-02-05,34.0,28.0,38.0
2023-01-29,37.0,28.0,35.0
2023-01-22,32.0,25.0,43.0
2023-01-18,38.0,46.0,15.0
2023-01-15,35.0,29.0,36.0
2023-01-08,34.0,28.0,38.0
2023-01-03,36.0,26.0,38.0
2022-12-11,37.0,27.0,36.0
2022-12-04,37.0,26.0,37.0
2022-10-25,44.0,41.0,15.0
2022-10-12,33.0,41.0,27.0
2022-10-07,38.0,29.0,33.0
2022-07-07,34.0,35.0,30.0
2022-06-30,28.0,54.0,18.0
2022-04-22,29.0,35.0,36.0
2022-04-10,27.0,32.0,42.0
2022-03-30,33.0,35.0,32.0
2022-03-27,30.0,28.0,41.0
2022-03-25,28.0,32.0,40.0
2022-03-20,31.0,31.0,38.0
2022-03-15,33.0,43.0,24.0
2022-03-11,28.0,30.0,42.0
2022-02-11,32.0,32.0,37.0
2022-01-28,34.0,33.0,33.0
2022-01-25,33.0,48.0,19.0
2022-01-17,30.0,30.0,40.0
2022-01-16,30.0,34.0,35.0
2022-01-14,36.0,32.0,32.0
2022-01-12,29.0,35.0,36.0
2022-01-10,30.0,33.0,37.0
2022-01-10,22.0,40.0,37.0
2021-12-25,35.0,31.0,34.0
2021-12-10,28.0,49.0,24.0
2021-12-09,26.0,38.0,35.0
2021-12-09,33.0,35.0,32.0
2021-11-22,24.0,56.0,20.0
2021-11-15,26.0,35.0,39.0
2021-11-06,23.0,39.0,38.0
2021-11-06,29.0,37.0,34.0
2021-10-11,26.0,37.0,37.0
2021-10-04,25.0,36.0,39.0
2021-09-27,24.0,37.0,38.0
2021-09-26,10.0,39.0,51.0
2021-09-23,25.0,50.0,25.0
2021-09-22,30.0,42.0,28.0
