Date,Approve,Disapprove
01/08/1979,45,43
01/09/1979,44,45
01/10/1979,44,47
01/11/1979,41,49
01/01/1980,39,50
01/02/1980,37,55
01/03/1980,37,56
01/04/1980,43,50
01/06/1980,42,52
01/07/1980,38,57
01/08/1980,37,56
01/09/1980,35,58
01/10/1980,34,58
01/11/1980,32,61
01/01/1981,33,61
01/02/1981,32,63
01/03/1981,29,65
01/04/1981,33,60
01/06/1981,34,61
01/07/1981,31,62
01/08/1981,29,64
01/09/1981,28,65
01/10/1981,30,65
01/11/1981,28,64
01/12/1981,25,66
01/01/1982,32,61
01/02/1982,30,63
01/03/1982,36,57
01/04/1982,41,53
01/05/1982,56,40
01/06/1982,59,36
01/07/1982,51,41
01/08/1982,49,43
01/09/1982,46,48
01/10/1982,46,46
01/11/1982,48,45
01/12/1982,47,45
26/01/1983,49,45
23/02/1983,49,45
23/03/1983,48,46
23/04/1983,49,44
23/05/1983,51,42
20/06/1983,54,34
25/07/1983,49,43
22/08/1983,53,40
26/09/1983,50,43
24/10/1983,47,46
02/12/1983,47,48
11/01/1984,48,45
20/02/1984,47,47
20/03/1984,43,52
01/05/1984,42,51
29/05/1984,43,52
25/06/1984,39,54
20/08/1984,41,52
21/09/1984,41,51
22/10/1984,48,46
19/11/1984,44,47
10/12/1984,41,51
07/01/1985,44,49
24/02/1985,41,53
24/03/1985,37,56
28/04/1985,38,57
26/05/1985,35,58
23/06/1985,38,54
21/07/1985,38,56
18/08/1985,33,60
22/09/1985,35,58
20/10/1985,39,55
24/11/1985,39,55
08/12/1985,39,53
08/01/1986,34,58
26/02/1986,29,64
26/03/1986,32,61
22/04/1986,32,61
21/05/1986,29,64
24/06/1986,30,62
22/07/1986,30,61
19/08/1986,27,65
23/09/1986,32,59
22/10/1986,35,55
26/11/1986,37,54
30/12/1986,39,55
28/01/1987,37,56
25/02/1987,38,54
02/04/1987,44,50
30/04/1987,47,46
01/07/1987,51,41
28/07/1987,54,38
26/08/1987,48,45
30/09/1987,48,45
26/10/1987,49,43
25/11/1987,49,44
30/12/1987,48,46
26/01/1988,46,47
01/03/1988,45,48
28/03/1988,47,49
26/04/1988,43,52
01/06/1988,43,51
28/06/1988,49,46
25/07/1988,46,49
22/08/1988,50,45
26/09/1988,46,47
31/10/1988,46,48
30/11/1988,47,48
29/12/1988,48,48
30/01/1989,46,48
28/02/1989,44,51
19/03/1989,43,52
24/04/1989,41,54
22/05/1989,40,54
27/06/1989,34,60
26/07/1989,34,61
21/08/1989,38,57
26/09/1989,41,54
23/10/1989,35,60
27/11/1989,33,63
28/12/1989,33,64
22/01/1990,31,65
19/02/1990,29,66
20/03/1990,20,76
24/04/1990,21,75
21/05/1990,26,70
18/06/1990,30,62
23/07/1990,30,65
20/08/1990,33,63
24/09/1990,36,59
22/10/1990,29,66
19/11/1990,25,71
