Date,Approve,Disapprove,Neither
2022-10-23,6.0,83.0,11.0
2022-10-19,10.0,75.0,15.0
2022-10-18,12.0,71.0,17.0
2022-10-16,9.0,70.0,20.0
2022-10-16,10.0,80.0,10.0
2022-10-13,14.0,62.0,23.0
2022-10-12,9.0,65.0,26.0
2022-10-12,16.0,67.0,17.0
2022-10-09,16.0,58.0,26.0
2022-10-07,16.0,64.0,20.0
2022-10-05,15.0,59.0,26.0
2022-10-02,11.0,71.0,19.0
2022-10-02,18.0,51.0,30.0
2022-10-02,14.0,73.0,12.0
2022-09-30,18.0,55.0,27.0
2022-09-29,28.0,42.0,31.0
2022-09-29,19.0,48.0,34.0
2022-09-25,29.0,35.0,36.0
2022-09-21,31.0,27.0,41.0
2022-09-21,17.0,59.0,27.0
2022-09-18,28.0,25.0,47.0
2022-09-11,34.0,36.0,31.0
2022-09-07,15.0,51.0,29.0
2022-09-07,22.0,23.0,54.0
