Date,Boris,Corbyn,Unsure
2019-11-29,36.0,19.0,14.0
2019-11-11,44.0,22.0,
2019-11-07,33.0,19.0,11.0
2019-11-04,41.0,26.0,32.0
2019-11-01,37.0,18.0,10.0
2019-10-23,39.0,16.0,10.0
2019-10-21,43.0,20.0,
2019-10-15,36.0,15.0,11.0
2019-10-15,43.0,21.0,
2019-10-09,41.0,21.0,
2019-10-04,36.0,16.0,12.0
2019-10-01,40.0,22.0,
2019-09-27,37.0,16.0,7.0
2019-09-20,36.0,15.0,
2019-09-18,38.0,22.0,
2019-09-13,35.0,16.0,12.0
2019-09-04,45.0,26.0,
2019-08-28,40.0,20.0,
2019-08-23,41.0,17.0,8.0
2019-08-09,38.0,19.0,9.0
2019-08-06,39.0,19.0,
2019-07-30,52.0,27.0,6.0
2019-07-30,42.0,21.0,
2019-07-27,48.0,25.0,
2019-07-25,49.0,28.0,
2019-07-24,38.0,20.0,3.0
2019-07-22,34.0,20.0,4.0
