Date,GovApprove,GovDisapprove,ThatcherApprove,ThatcherDisapprove,CallaghanFootApprove,CallaghanFootApprove
30/03/1977,27,64,36,51,46,45
26/10/1977,35,54,43,40,53,37
13/04/1978,46,46,54,40,64,31
13/06/1978,34,56,41,49,52,40
11/07/1978,32,58,44,44,50,42
14/08/1978,36,54,41,47,51,41
04/09/1978,35,56,42,46,49,42
11/09/1978,36,51,42,45,50,41
08/11/1978,39,53,38,51,54,40
01/02/1979,17,75,45,40,31,62
05/03/1979,22,69,43,45,41,52
29/03/1979,30,63,44,46,43,51
02/04/1979,28,64,47,38,44,50
01/08/1979,34,52,45,43,48,30
01/09/1979,33,53,44,45,44,31
01/10/1979,35,54,44,47,46,33
01/11/1979,30,58,41,49,45,33
01/01/1980,30,59,39,50,35,41
01/02/1980,26,63,37,55,38,42
01/03/1980,28,62,37,56,44,34
01/04/1980,33,57,43,50,41,37
01/06/1980,32,59,42,52,37,43
01/07/1980,32,62,38,57,42,41
01/08/1980,30,61,37,56,37,44
01/09/1980,27,64,35,58,41,41
01/10/1980,27,65,34,58,,
01/11/1980,25,65,32,61,23,21
01/01/1981,26,66,33,61,24,37
01/02/1981,23,69,32,63,24,45
01/03/1981,16,74,29,65,23,50
01/04/1981,24,68,33,60,24,50
01/06/1981,25,68,34,61,29,47
01/07/1981,22,70,31,62,25,51
01/08/1981,22,70,29,64,24,51
01/09/1981,20,71,28,65,25,49
01/10/1981,22,72,30,65,24,56
01/11/1981,20,72,28,64,17,63
01/12/1981,18,73,25,66,16,64
