Date,Approval,Disapproval
2025-05-26,14.0,39.0
2025-05-19,16.0,41.0
2025-05-16,19.0,39.0
2025-05-14,16.0,55.0
2025-05-13,17.0,49.0
2025-05-12,15.0,40.0
2025-05-08,20.0,25.0
2025-05-05,,
2025-05-05,24.0,37.0
2025-05-04,16.0,39.0
2025-05-02,19.0,39.0
2025-04-27,20.0,33.0
2025-04-25,20.0,38.0
2025-04-21,15.0,40.0
2025-04-14,16.0,54.0
2025-04-14,14.0,37.0
2025-04-14,19.0,32.0
2025-04-11,19.0,39.0
2025-04-10,,
2025-04-08,25.0,34.0
2025-04-07,14.0,52.0
2025-04-07,,
2025-04-07,17.0,36.0
2025-04-01,,
2025-03-31,15.0,36.0
2025-03-28,17.0,38.0
2025-03-27,22.0,24.0
2025-03-26,18.0,40.0
2025-03-24,16.0,40.0
2025-03-21,20.0,35.0
2025-03-17,18.0,52.0
2025-03-17,18.0,44.0
2025-03-17,28.0,45.0
2025-03-17,16.0,35.0
2025-03-14,,
2025-03-11,16.0,50.0
2025-03-10,15.0,37.0
2025-03-09,26.0,31.0
2025-03-07,19.0,36.0
2025-03-05,17.0,51.0
2025-03-03,,
2025-03-03,15.0,35.0
2025-02-26,23.0,22.0
2025-02-24,13.0,37.0
2025-02-21,18.0,38.0
2025-02-21,25.0,34.0
2025-02-18,,
2025-02-18,15.0,36.0
2025-02-17,17.0,51.0
2025-02-11,16.0,45.0
2025-02-10,17.0,36.0
2025-02-07,20.0,35.0
2025-02-03,15.0,33.0
2025-01-29,23.0,23.0
2025-01-29,33.0,31.0
2025-01-27,16.0,32.0
2025-01-24,19.0,34.0
2025-01-20,16.0,33.0
2025-01-20,29.0,45.0
2025-01-13,16.0,46.0
2025-01-13,14.0,32.0
2025-01-10,21.0,34.0
2025-01-03,25.0,46.0
2024-12-23,34.0,38.0
2024-12-20,21.0,32.0
2024-12-16,36.0,25.0
2024-12-13,18.0,49.0
2024-12-10,18.0,27.0
2024-12-04,19.0,34.0
2024-11-29,22.0,28.0
2024-11-27,23.0,16.0
2024-11-27,20.0,26.0
2024-11-18,24.0,38.0
2024-11-14,22.0,23.0
2024-11-13,20.0,25.0
2024-11-11,21.0,39.0
2024-11-11,17.0,19.0
2024-11-10,21.0,41.0
