Date,Boris,Starmer,Unsure
2022-05-15,33.0,40.0,27.0
2022-05-08,32.0,39.0,29.0
2022-05-06,27.0,33.0,35.0
2022-05-01,33.0,35.0,31.0
2022-04-27,26.0,35.0,34.0
2022-04-26,33.0,40.0,27.0
2022-04-24,32.0,40.0,28.0
2022-04-22,27.0,28.0,12.0
2022-04-20,27.0,34.0,35.0
2022-04-17,33.0,39.0,29.0
2022-04-14,34.0,41.0,25.0
2022-04-10,35.0,38.0,27.0
2022-04-08,25.0,26.0,14.0
2022-04-07,27.0,31.0,38.0
2022-04-03,37.0,37.0,26.0
2022-03-30,27.0,32.0,37.0
2022-03-30,35.0,37.0,27.0
2022-03-27,38.0,33.0,28.0
2022-03-25,26.0,25.0,14.0
2022-03-23,28.0,31.0,38.0
2022-03-20,38.0,36.0,27.0
2022-03-13,34.0,35.0,31.0
2022-03-11,27.0,26.0,15.0
2022-03-07,39.0,35.0,26.0
2022-03-04,26.0,33.0,37.0
2022-02-25,26.0,34.0,37.0
2022-02-21,29.0,37.0,34.0
2022-02-11,24.0,26.0,14.0
2022-02-02,25.0,35.0,36.0
2022-01-31,31.0,43.0,26.0
2022-01-25,31.0,49.0,20.0
2022-01-21,25.0,35.0,36.0
2022-01-17,29.0,42.0,29.0
2022-01-13,22.0,35.0,40.0
2022-01-12,23.0,35.0,38.0
2022-01-07,28.0,33.0,36.0
2021-12-20,22.0,34.0,36.0
2021-12-15,23.0,33.0,40.0
2021-12-11,30.0,39.0,31.0
2021-12-10,22.0,29.0,13.0
2021-12-10,31.0,44.0,25.0
2021-12-09,34.0,33.0,33.0
2021-12-06,41.0,32.0,27.0
2021-12-02,27.0,31.0,38.0
2021-11-28,27.0,28.0,41.0
2021-11-26,29.0,27.0,14.0
2021-11-18,28.0,30.0,37.0
2021-11-12,26.0,25.0,14.0
2021-11-11,27.0,29.0,41.0
2021-11-06,41.0,27.0,32.0
2021-11-06,28.0,26.0,12.0
2021-10-29,33.0,22.0,12.0
2021-10-13,31.0,25.0,41.0
2021-10-11,42.0,31.0,27.0
2021-10-04,42.0,32.0,26.0
2021-09-23,38.0,38.0,24.0
2021-09-17,32.0,25.0,11.0
2021-09-16,31.0,26.0,39.0
2021-09-14,43.0,32.0,25.0
2021-09-13,44.0,27.0,29.0
2021-09-11,32.0,26.0,12.0
2021-09-06,42.0,30.0,28.0
2021-09-03,32.0,27.0,36.0
2021-09-03,32.0,24.0,14.0
2021-08-29,45.0,27.0,28.0
2021-08-26,32.0,27.0,37.0
2021-08-23,41.0,30.0,29.0
2021-08-20,31.0,26.0,13.0
2021-08-16,41.0,29.0,30.0
2021-08-15,40.0,28.0,32.0
2021-08-12,30.0,28.0,39.0
2021-08-09,43.0,32.0,25.0
2021-08-06,31.0,25.0,12.0
2021-08-06,31.0,27.0,37.0
2021-08-02,44.0,28.0,28.0
2021-07-29,33.0,28.0,37.0
2021-07-25,40.0,30.0,30.0
2021-07-23,40.0,33.0,27.0
2021-07-23,30.0,26.0,12.0
2021-07-20,41.0,33.0,25.0
2021-07-19,44.0,30.0,26.0
2021-06-18,43.0,28.0,29.0
2021-07-16,37.0,27.0,31.0
2021-07-13,45.0,28.0,27.0
2021-07-12,43.0,29.0,28.0
2021-07-09,33.0,24.0,12.0
2021-07-08,33.0,25.0,37.0
2021-07-05,44.0,29.0,27.0
2021-06-30,33.0,27.0,36.0
2021-06-28,42.0,31.0,27.0
2021-06-26,45.0,28.0,28.0
2021-06-25,35.0,26.0,11.0
2021-06-21,46.0,26.0,28.0
2021-06-17,36.0,26.0,33.0
2021-06-13,47.0,28.0,25.0
2021-06-13,44.0,28.0,28.0
2021-06-11,37.0,24.0,11.0
2021-06-10,46.0,28.0,26.0
2021-06-07,48.0,25.0,28.0
2021-05-31,48.0,25.0,27.0
2021-05-28,33.0,27.0,12.0
2021-05-28,37.0,25.0,35.0
2021-05-28,45.0,29.0,25.0
2021-05-26,45.0,28.0,27.0
2021-05-24,47.0,26.0,27.0
2021-05-20,40.0,24.0,33.0
2021-05-17,50.0,24.0,26.0
2021-05-16,48.0,24.0,28.0
2021-05-14,40.0,23.0,12.0
2021-05-10,50.0,26.0,25.0
2021-05-03,45.0,30.0,25.0
2021-04-30,32.0,29.0,14.0
2021-04-29,41.0,33.0,26.0
2021-04-26,46.0,29.0,25.0
2021-04-26,40.0,24.0,24.0
2021-04-23,35.0,25.0,14.0
2021-04-19,47.0,28.0,26.0
2021-04-19,43.0,34.0,23.0
2021-04-18,44.0,30.0,26.0
2021-04-14,34.0,26.0,36.0
2021-04-12,47.0,28.0,25.0
2021-04-10,46.0,32.0,22.0
2021-04-09,38.0,25.0,15.0
2021-04-08,35.0,29.0,32.0
2021-04-05,48.0,28.0,25.0
2021-04-01,35.0,29.0,33.0
2021-03-29,47.0,28.0,25.0
2021-03-26,37.0,27.0,34.0
2021-03-26,33.0,27.0,15.0
2021-03-22,50.0,26.0,23.0
2021-03-19,35.0,29.0,33.0
2021-03-19,35.0,28.0,13.0
2021-03-15,48.0,28.0,24.0
2021-03-14,44.0,27.0,29.0
2021-03-12,37.0,25.0,15.0
2021-03-12,47.0,37.0,16.0
2021-03-10,34.0,29.0,35.0
2021-03-10,45.0,31.0,24.0
2021-03-08,50.0,27.0,23.0
2021-03-04,36.0,28.0,33.0
2021-03-01,48.0,30.0,22.0
2021-02-26,35.0,31.0,34.0
