Date,Keir Starmer,Rishi Sunak,Unsure
2023-04-16,37%,36%,27%
2023-04-14,28%,27%,45%
2023-04-13,33%,33%,34%
2023-04-09,39%,37%,24%
2023-04-06,36%,28%,36%
2023-04-06,28%,26%,46%
2023-04-06,31%,26%,40%
2023-04-02,38%,35%,27%
2023-03-31,29%,26%,45%
2023-03-30,30%,26%,39%
2023-03-29,41%,29%,30%
2023-03-29,36%,37%,16%
2023-03-26,39%,36%,25%
2023-03-24,34%,37%,29%
2023-03-24,38%,37%,26%
2023-03-22,31%,25%,40%
2023-03-19,41%,34%,25%
2023-03-17,26%,28%,30%
2023-03-15,36%,32%,32%
2023-03-12,37%,38%,25%
2023-03-12,42%,34%,24%
2023-03-10,38%,30%,32%
2023-03-05,41%,35%,24%
2023-03-03,36%,31%,33%
2023-03-01,32%,27%,42%
2023-02-26,41%,32%,27%
2023-02-22,30%,25%,45%
2023-02-18,41%,32%,27%
2023-02-16,36%,31%,33%
2023-02-12,40%,34%,26%
2023-02-10,36%,27%,37%
2023-02-08,33%,25%,42%
2023-02-05,41%,32%,27%
2023-02-03,34%,28%,38%
2023-02-01,32%,22%,46%
2023-01-29,41%,35%,24%
2023-01-26,35%,28%,37%
2023-01-22,40%,35%,25%
2023-01-19,40%,27%,33%
2023-01-19,38%,33%,43%
2023-01-15,37%,37%,26%
2023-01-11,32%,24%,44%
2023-01-08,38%,37%,25%
2023-01-06,33%,33%,34%
2023-01-05,31%,26%,43%
2023-01-03,36%,38%,26%
2022-12-21,32%,25%,43%
2022-12-15,32%,24%,44%
2022-12-11,39%,36%,25%
2022-12-07,29%,24%,47%
2022-12-04,40%,36%,24%
2022-11-30,30%,25%,45%
2022-03-27,37%,28%,35%
2022-03-20,37%,37%,26%
2022-02-21,38%,34%,28%
2022-01-31,39%,38%,23%
2022-01-17,37%,38%,25%
2021-11-15,33%,38%,29%
2021-09-13,31%,40%,30%
2021-09-06,31%,39%,30%
2021-08-29,28%,42%,31%
2021-08-23,30%,39%,31%
2021-08-16,29%,40%,30%
2021-08-09,31%,40%,28%
2021-08-02,30%,41%,29%
2021-07-25,31%,41%,28%
2021-07-19,30%,42%,27%
2021-07-12,27%,43%,30%
2021-07-05,29%,43%,28%
2021-06-28,31%,42%,27%
2021-06-21,28%,42%,30%
2021-06-13,29%,43%,28%
2021-06-07,26%,42%,32%
2021-05-31,27%,44%,28%
2021-05-24,28%,43%,28%
2021-05-17,28%,44%,29%
2021-05-10,26%,45%,29%
2021-05-03,33%,40%,27%
2021-04-26,30%,42%,28%
2021-04-19,28%,41%,31%
2021-04-12,30%,40%,29%
2021-04-05,29%,41%,31%
2021-03-29,29%,42%,29%
2021-03-22,32%,39%,29%
2021-03-15,31%,37%,32%
2021-03-12,37%,39%,24%
2021-03-08,30%,40%,29%
2021-03-01,31%,42%,27%
2021-02-22,34%,41%,25%
2021-02-15,33%,38%,29%
2021-02-08,34%,40%,26%
2021-02-01,34%,38%,29%
2021-01-25,32%,39%,28%
2021-01-18,33%,39%,28%
2021-01-11,34%,38%,28%
2020-11-19,31%,41%,28%
2020-11-11,34%,39%,27%
2020-10-28,31%,39%,30%
2020-10-07,32%,39%,28%
2020-10-01,33%,41%,26%
2020-09-23,33%,41%,26%
2020-09-16,33%,40%,27%
2020-09-02,30%,43%,27%
2020-08-24,33%,36%,31%
2020-08-19,34%,37%,29%
2020-08-12,30%,46%,25%
2020-07-29,31%,42%,27%
2020-07-22,31%,42%,26%
2020-07-15,34%,44%,23%
2020-07-08,34%,42%,23%
2020-07-01,33%,40%,26%
2020-06-25,33%,42%,25%
2020-06-18,31%,39%,31%
