Date,Starmer,Sunak,Farage,Davey
2024-10-07,-31.0,-38.0,,
2024-10-06,-36.0,-42.0,-35.0,-7.0
2024-10-03,-25.0,-18.0,-3.0,1.0
2024-09-27,-30.0,-26.0,-11.0,-1.0
2024-09-25,-27.0,-35.0,,
2024-09-22,-30.0,-44.0,-35.0,-9.0
2024-09-20,-26.0,-25.0,-12.0,3.0
2024-09-09,-20.0,,,
2024-08-29,-16.0,-24.0,-9.0,-2.0
2024-08-27,-16.0,-41.0,,
2024-08-16,-6.0,-30.0,-19.0,0.0
2024-08-08,-9.0,-35.0,-15.0,-18.0
2024-08-07,-3.0,-23.0,-14.0,5.0
2024-08-06,-16.0,-48.0,-42.0,
2024-08-02,3.0,-30.0,-15.0,5.0
2024-07-31,-9.0,-47.0,-35.0,-6.0
2024-07-26,5.0,-36.0,-20.0,-15.0
2024-07-19,18.0,-22.0,,7.0
2024-07-14,20.0,,,
2024-07-12,23.0,-10.0,,
2024-07-08,-3.0,-47.0,-38.0,5.0
2024-07-06,7.0,-36.0,-26.0,3.0
