Date,Approval,Disapproval
2025-03-17,32.0,60.0
2025-03-17,31.0,62.0
2025-03-17,24.0,51.0
2025-03-11,30.0,62.0
2025-03-10,25.0,51.0
2025-03-09,28.0,47.0
2025-03-07,26.0,49.0
2025-03-05,31.0,59.0
2025-03-03,32.0,46.0
2025-03-03,24.0,52.0
2025-02-26,24.0,54.0
2025-02-24,19.0,58.0
2025-02-21,21.0,55.0
2025-02-18,30.0,48.0
2025-02-18,20.0,57.0
2025-02-17,26.0,66.0
2025-02-10,19.0,60.0
2025-02-07,22.0,56.0
2025-02-03,18.0,56.0
2025-01-29,22.0,55.0
2025-01-29,30.0,49.0
2025-01-27,16.0,58.0
2025-01-24,21.0,55.0
2025-01-20,20.0,56.0
2025-01-20,29.0,64.0
2025-01-13,19.0,58.0
2025-01-10,22.0,55.0
2025-01-03,26.0,68.0
2024-12-23,28.0,64.0
2024-12-20,22.0,54.0
2024-12-16,35.0,44.0
2024-12-13,25.0,66.0
2024-12-10,19.0,55.0
2024-12-04,27.0,61.0
2024-11-29,22.0,54.0
2024-11-27,25.0,53.0
2024-11-27,24.0,53.0
2024-11-18,29.0,61.0
2024-11-14,25.0,48.0
2024-11-13,25.0,50.0
2024-11-11,23.0,52.0
2024-11-11,24.0,48.0
2024-11-10,28.0,61.0
2024-10-31,23.0,49.0
2024-10-31,26.0,50.0
2024-10-20,30.0,48.0
2024-10-18,21.0,53.0
2024-10-10,18.0,56.0
2024-10-07,21.0,54.0
2024-10-07,30.0,61.0
2024-10-06,27.0,63.0
2024-10-04,24.0,52.0
2024-10-03,25.0,50.0
2024-09-27,23.0,53.0
2024-09-25,21.0,48.0
2024-09-22,30.0,60.0
2024-09-20,24.0,50.0
2024-09-09,25.0,45.0
2024-08-29,28.0,44.0
2024-08-27,27.0,43.0
2024-08-16,32.0,38.0
2024-08-08,33.0,42.0
2024-08-07,30.0,33.0
2024-08-06,37.0,53.0
2024-08-02,35.0,32.0
2024-07-31,40.0,49.0
2024-07-26,42.0,37.0
2024-07-19,38.0,20.0
2024-07-12,38.0,15.0
2024-07-08,44.0,47.0
2024-07-06,40.0,33.0
