Date,Starmer,Sunak,Unsure
2024-03-03,41.0,31.0,28.0
2024-02-25,42.0,29.0,30.0
2024-02-18,44.0,28.0,28.0
2024-02-11,45.0,29.0,26.0
2024-02-04,45.0,29.0,26.0
2024-01-28,44.0,30.0,26.0
2024-01-21,42.0,29.0,29.0
2024-01-14,41.0,31.0,28.0
2024-01-07,45.0,30.0,25.0
2023-12-17,39.0,32.0,29.0
2023-12-10,42.0,30.0,28.0
2023-12-03,42.0,31.0,27.0
2023-11-26,43.0,31.0,26.0
2023-11-19,43.0,28.0,29.0
2023-11-12,41.0,31.0,28.0
2023-11-05,42.0,31.0,26.0
2023-10-29,44.0,30.0,26.0
2023-10-22,44.0,31.0,26.0
2023-10-15,43.0,32.0,25.0
2023-10-08,42.0,32.0,26.0
2023-10-01,41.0,32.0,27.0
2023-09-24,43.0,34.0,23.0
2023-09-17,42.0,31.0,28.0
2023-09-10,43.0,28.0,30.0
2023-09-03,46.0,29.0,25.0
2023-08-27,44.0,34.0,22.0
2023-08-20,40.0,33.0,27.0
2023-08-13,43.0,33.0,23.0
2023-08-06,38.0,33.0,29.0
2023-07-30,40.0,31.0,29.0
2023-07-23,43.0,35.0,22.0
2023-07-16,43.0,34.0,23.0
2023-07-09,42.0,32.0,27.0
2023-07-02,38.0,34.0,28.0
2023-05-05,41.0,27.0,31.0
2023-04-16,37.0,36.0,27.0
2023-04-14,28.0,27.0,45.0
2023-04-13,33.0,33.0,34.0
2023-04-09,39.0,37.0,24.0
2023-04-06,36.0,28.0,36.0
2023-04-06,28.0,26.0,46.0
2023-04-06,31.0,26.0,40.0
2023-04-02,38.0,35.0,27.0
2023-03-31,29.0,26.0,45.0
2023-03-30,30.0,26.0,39.0
2023-03-29,41.0,29.0,30.0
2023-03-29,36.0,37.0,16.0
2023-03-26,39.0,36.0,25.0
2023-03-24,34.0,37.0,29.0
2023-03-24,38.0,37.0,26.0
2023-03-22,31.0,25.0,40.0
2023-03-19,41.0,34.0,25.0
2023-03-17,26.0,28.0,30.0
2023-03-15,36.0,32.0,32.0
2023-03-12,37.0,38.0,25.0
2023-03-12,42.0,34.0,24.0
2023-03-10,38.0,30.0,32.0
2023-03-05,41.0,35.0,24.0
2023-03-03,36.0,31.0,33.0
2023-03-01,32.0,27.0,42.0
2023-02-26,41.0,32.0,27.0
2023-02-22,30.0,25.0,45.0
2023-02-18,41.0,32.0,27.0
2023-02-16,36.0,31.0,33.0
2023-02-12,40.0,34.0,26.0
2023-02-10,36.0,27.0,37.0
2023-02-08,33.0,25.0,42.0
2023-02-05,41.0,32.0,27.0
2023-02-03,34.0,28.0,38.0
2023-02-01,32.0,22.0,46.0
2023-01-29,41.0,35.0,24.0
2023-01-26,35.0,28.0,37.0
2023-01-22,40.0,35.0,25.0
2023-01-19,40.0,27.0,33.0
2023-01-19,38.0,33.0,43.0
2023-01-15,37.0,37.0,26.0
2023-01-11,32.0,24.0,44.0
2023-01-08,38.0,37.0,25.0
2023-01-06,33.0,33.0,34.0
2023-01-05,31.0,26.0,43.0
2023-01-03,36.0,38.0,26.0
2022-12-21,32.0,25.0,43.0
2022-12-15,32.0,24.0,44.0
2022-12-11,39.0,36.0,25.0
2022-12-07,29.0,24.0,47.0
2022-12-04,40.0,36.0,24.0
2022-11-30,30.0,25.0,45.0
