Date,Lab,Con,Ref,Lib Dem,Green
2025-07-06,0.2,0.24,0.22,0.39,0.41
2025-06-30,0.23,0.34,,,
2025-06-27,0.2,0.25,0.25,0.41,0.39
2025-06-23,0.25,0.34,,,
2025-06-16,0.08,0.1,0.1,0.18,0.18
2025-06-16,0.21,0.25,0.22,0.38,0.39
2025-06-16,0.23,0.34,,,
2025-06-11,0.19,0.24,0.25,0.34,0.35
2025-06-09,0.25,0.34,,,
2025-06-08,0.19,0.24,0.21,0.39,0.36
2025-06-02,0.25,0.33,,,
2025-05-19,0.22,0.33,,,
2025-05-14,0.09,0.1,0.11,0.19,0.19
2025-05-13,0.23,0.24,0.22,0.37,0.39
2025-05-12,0.24,0.35,,,
2025-05-05,0.08,0.09,0.11,0.12,0.13
2025-05-04,0.23,0.34,,,
2025-04-27,0.22,0.37,,,
2025-04-21,0.23,0.35,,,
2025-04-14,0.1,0.09,0.12,0.18,0.18
2025-04-14,0.26,0.34,,,
2025-04-07,0.25,0.38,,,
2025-03-31,0.21,0.39,,,
2025-03-24,0.22,0.35,,,
2025-03-17,0.09,0.09,0.13,0.18,0.18
2025-03-17,0.25,0.27,0.24,0.41,0.42
2025-03-17,0.21,0.37,,,
2025-03-11,0.08,0.08,0.13,0.19,0.2
2025-03-10,0.26,0.36,,,
2025-03-05,0.08,0.08,0.11,0.18,0.19
2025-03-03,0.26,,,,
2025-02-24,0.25,,,,
2025-02-18,0.24,0.36,,,
2025-02-17,0.07,0.08,0.12,0.21,0.21
2025-02-11,0.24,0.28,0.26,0.42,0.41
2025-02-10,0.22,0.33,,,
2025-02-03,0.27,0.38,,,
2025-01-29,0.19,0.22,0.26,0.4,0.35
2025-01-27,0.3,0.36,,,
2025-01-20,0.23,0.35,,,
2025-01-13,0.21,0.23,0.24,0.44,0.43
2024-12-16,0.22,0.23,0.28,0.43,0.39
2024-12-13,0.09,0.09,0.14,,
2024-12-10,0.24,0.36,,,
2024-11-11,0.32,0.41,,0.6,
2024-11-10,0.09,0.08,0.15,0.2,0.2
2024-10-10,0.25,0.33,,,
2024-10-07,0.25,0.32,,,
2024-09-22,0.09,0.09,0.12,0.18,0.18
2024-08-27,0.3,0.28,,,
2024-08-06,0.08,0.07,,,
2024-07-08,0.07,0.07,0.1,0.18,0.16
2024-07-06,0.26,0.21,0.24,0.43,0.39
