Date,Starmer,Badenoch,Farage,None
2025-07-14,0.23,0.1,0.24,0.43
2025-07-03,0.2,0.1,0.24,0.46
2025-06-30,0.2376237623762376,0.09900990099009901,0.24752475247524752,0.4158415841584158
2025-06-23,0.26,0.1,0.24,0.4
2025-06-16,0.24,0.1,0.24,0.42
2025-06-09,0.23,0.1,0.24,0.43
2025-06-02,0.23,0.1,0.24,0.43
2025-05-26,0.24,0.1,0.24,0.42
2025-05-19,0.22,0.11,0.24,0.43
2025-05-04,0.22,0.1,0.24,0.44
2025-04-21,0.26,0.11,0.23,0.4
2025-04-14,0.26,0.11,0.22,0.41
2025-03-31,0.22,0.11,0.22,0.45
2025-03-24,0.25,0.12,0.22,0.41
2025-03-17,0.26,0.11,0.22,0.41
2025-03-10,0.26,0.1,0.21,0.43
2025-03-03,0.28,0.12,0.22,0.38
2025-02-24,0.22,0.11,0.23,0.44
2025-02-18,0.22772277227722773,0.09900990099009901,0.24752475247524752,0.42574257425742573
2025-02-10,0.22,0.13,0.24,0.41
2025-02-03,0.22,0.12,0.24,0.42
2025-01-27,0.21,0.12,0.23,0.44
2025-01-13,0.21,0.12,0.2,0.47
