Date,Johnson,Starmer,Unsure
15 May 2022,33%,40%,27%
8 May 2022,32%,39%,29%
6 May 2022,27%,33%,35%
1 May 2022,33%,35%,31%
27 Apr 2022,26%,35%,34%
26 Apr 2022,33%,40%,27%
24 Apr 2022,32%,40%,28%
22 Apr 2022,27%,28%,12%
20 Apr 2022,27%,34%,35%
17 Apr 2022,33%,39%,29%
14 Apr 2022,34%,41%,25%
10 Apr 2022,35%,38%,27%
8 Apr 2022,25%,26%,14%
7 Apr 2022,27%,31%,38%
3 Apr 2022,37%,37%,26%
30 Mar 2022,27%,32%,37%
30 Mar 2022,35%,37%,27%
27 Mar 2022,38%,33%,28%
25 Mar 2022,26%,25%,14%
23 Mar 2022,28%,31%,38%
20 Mar 2022,38%,36%,27%
13 Mar 2022,34%,35%,31%
11 Mar 2022,27%,26%,15%
7 Mar 2022,39%,35%,26%
4 Mar 2022,26%,33%,37%
25 Feb 2022,26%,34%,37%
21 Feb 2022,29%,37%,34%
11 Feb 2022,24%,26%,14%
2 Feb 2022,25%,35%,36%
31 Jan 2022,31%,43%,26%
25 Jan 2022,31%,49%,20%
21 Jan 2022,25%,35%,36%
17 Jan 2022,29%,42%,29%
13 Jan 2022,22%,35%,40%
12 Jan 2022,23%,35%,38%
7 Jan 2022,28%,33%,36%
20 Dec 2021,22%,34%,36%
15 Dec 2021,23%,33%,40%
11 Dec 2021,30%,39%,31%
10 Dec 2021,22%,29%,13%
10 Dec 2021,31%,44%,25%
9 Dec 2021,34%,33%,33%
6 Dec 2021,41%,32%,27%
2 Dec 2021,27%,31%,38%
28 Nov 2021,27%,28%,41%
26 Nov 2021,29%,27%,14%
18 Nov 2021,28%,30%,37%
12 Nov 2021,26%,25%,14%
11 Nov 2021,27%,29%,41%
6 Nov 2021,41%,27%,32%
6 Nov 2021,28%,26%,12%
29 Oct 2021,33%,22%,12%
13 Oct 2021,31%,25%,41%
11 Oct 2021,42%,31%,27%
4 Oct 2021,42%,32%,26%
23 Sep 2021,38%,38%,24%
17 Sep 2021,32%,25%,11%
16 Sep 2021,31%,26%,39%
14 Sep 2021,43%,32%,25%
13 Sep 2021,44%,27%,29%
11 Sep 2021,32%,26%,12%
6 Sep 2021,42%,30%,28%
