State,Error
Alabama,-0.03768158703011193
Alaska,-0.004704416886371826
Arizona,-0.019919648098127567
Arkansas,-0.04779348587920018
California,-0.012347478559098957
Colorado,-0.13837755268247995
Connecticut,-0.07589723683287752
Delaware,-0.04880752422180998
Florida,-0.0591294651548823
Georgia,-0.01398831382928424
Idaho,-0.12402653061224489
Illinois,0.015206551520003775
Indiana,-0.04499645542427505
Iowa,-0.06478668803203412
Kansas,-0.047146409674981044
Kentucky,-0.023444943820224773
Louisiana,0.03966530612244901
Maine,-0.041268780571316555
Maryland,-0.026270152184585116
Massachusetts,-0.06857460317460312
Michigan,-0.053155920383252335
Minnesota,-0.04263222645524095
Mississippi,0.03177246959389815
Missouri,-0.06320182599355537
Montana,-0.12492560866451852
Nebraska,-0.089589898989899
Nevada,-0.006623723435233351
New Hampshire,-0.03767152395687019
New Jersey,-0.05608932625221286
New Mexico,-0.0017938775510203397
New York,-0.07303410477593097
North Carolina,-0.029038350492270146
Ohio,-0.058650698133848836
Oklahoma,-0.0849404040404041
Oregon,-0.06360608901271647
Pennsylvania,-0.040507371530257075
Rhode Island,-0.10172073799216663
South Carolina,-0.0316587743083732
South Dakota,-0.0636375614360577
Tennessee,-0.09693886483886491
Texas,-0.032126012538183354
Utah,-0.0823510204081633
Vermont,-0.042976575749843704
Virginia,-0.035722591355203476
Washington,-0.05724609018865273
West Virginia,-0.03906293547722117
Wisconsin,-0.07790237113551443
Wyoming,-0.09440606060606077
