State,Error
Alabama,-0.04130908403011191
Alaska,-0.009341390886371828
Arizona,-0.019883014098127566
Arkansas,-0.055842151879200164
California,-0.005760051559098978
Colorado,-0.0009611626824799491
Connecticut,-0.0726962548328775
Delaware,-0.045972641221809996
Florida,-0.059424558154882304
Georgia,-0.01400172082928424
Idaho,-0.13386938961224493
Illinois,0.01848742652000379
Indiana,-0.04826038342427505
Iowa,-0.06645195003203412
Kansas,-0.05061497467498105
Kentucky,-0.028047001820224737
Louisiana,0.03647649712244899
Maine,-0.03856068857131656
Maryland,-0.017789211184585096
Massachusetts,-0.06086361217460312
Michigan,-0.05268473338325233
Minnesota,-0.040941953455240945
Mississippi,0.02957275259389816
Missouri,-0.06601823899355536
Montana,-0.1291692106645185
Nebraska,-0.094670943989899
Nevada,-0.006061376435233353
New Hampshire,-0.036194006956870195
New Jersey,-0.05406160325221285
New Mexico,0.0006759254489796668
New York,-0.06979056677593098
North Carolina,-0.02922236349227015
North Dakota,-0.16630482591589357
Ohio,-0.059884651133848846
Oklahoma,-0.09284119404040408
Oregon,-0.058362949012716464
Pennsylvania,-0.04032326653025707
Rhode Island,-0.09743353999216664
South Carolina,-0.033390949308373205
South Dakota,-0.07073315843605771
Tennessee,-0.1013942718388649
Texas,-0.032940437538183355
Utah,-0.0914231224081633
Vermont,-0.03109284474984375
Virginia,-0.03372885135520347
Washington,-0.05073602618865272
West Virginia,-0.045733581477221175
Wisconsin,-0.07782110613551443
Wyoming,-0.11021474860606073
