Date,Con,Lab,Lib Dem,SNP,Green
12/12/2022,0.32,0.45,0.08,-,-
11/12/2022,0.29,0.46,0.09,0.03,0.05
09/12/2022,0.3,0.48,0.09,0.02,0.06
08/12/2022,0.2,0.47,0.08,-,0.06
08/12/2022,0.27,0.48,0.09,0.04,0.04
07/12/2022,0.24,0.48,0.09,0.04,0.05
05/12/2022,0.28,0.48,0.10,0.04,0.04
05/12/2022,0.27,0.48,0.11,-,0.03
04/12/2022,0.31,0.42,0.10,0.04,0.03
04/12/2022,0.26,0.48,0.10,0.03,0.06
02/12/2022,0.25,0.48,0.09,0.04,0.06
02/12/2022,0.29,0.43,0.08,0.04,0.06
01/12/2022,0.25,0.48,0.09,0.04,0.06
01/12/2022,0.26,0.49,0.10,0.04,0.04
30/11/2022,0.21,0.46,0.07,0.05,0.09
30/11/2022,0.22,0.47,0.09,0.04,0.05
28/11/2022,0.30,0.48,0.10,0.03,0.03
27/11/2022,0.27,0.47,0.11,0.03,0.05
27/11/2022,0.26,0.47,0.10,0.04,0.02
24/11/2022,0.25,0.49,0.09,0.03,0.05
25/11/2022,0.27,0.50,0.09,0.04,0.04
23/11/2022,0.24,0.44,0.08,0.05,0.08
23/11/2022,0.25,0.48,0.09,0.04,0.05
21/11/2022,0.3,0.45,0.08,0.05,0.04
20/11/2022,0.28,0.46,0.1,0.03,0.03
20/11/2022,0.28,0.49,0.09,0.04,0.04
19/11/2022,0.25,0.51,0.09,0.03,0.04
18/11/2022,0.21,0.47,0.1,0.05,0.07
18/11/2022,0.28,0.45,0.09,0.03,0.04
18/11/2022,0.21,0.48,0.1,0.05,0.07
17/11/2022,0.28,0.5,0.08,0.04,0.04
17/11/2022,0.27,0.48,0.1,0.05,0.04
16/11/2022,0.29,0.5,0.07,0.05,0.03
14/11/2022,0.27,0.5,0.06,0.05,0.06
13/11/2022,0.26,0.5,0.09,0.03,0.05
11/11/2022,0.26,0.49,0.07,0.03,0.05
10/11/2022,0.28,0.49,0.11,0.03,0.04
10/11/2022,0.25,0.48,0.1,0.05,0.05
10/11/2022,0.3,0.49,0.08,0.04,0.04
09/11/2022,0.21,0.42,0.09,0.05,0.09
07/11/2022,0.29,0.47,0.09,0.04,0.05
06/11/2022,0.27,0.48,0.1,0.04,0.03
04/11/2022,0.27,0.51,0.07,0.04,0.04
04/11/2022,0.28,0.46,0.08,0.04,0.06
03/11/2022,0.3,0.47,0.12,0.03,0.03
03/11/2022,0.29,0.49,0.09,0.04,0.04
03/11/2022,0.27,0.5,0.07,0.04,0.03
02/11/2022,0.24,0.5,0.09,0.04,0.05
